NMF Analysis for Genre: Classics

Metric: Average count of target genre per user

k = 15
  original: 1.4788 (users=53424)
  2u: 1.4207 (users=53424)
  4u: 1.5702 (users=53424)
  6u: 1.4983 (users=53424)
  25u: 2.9698 (users=53424)
  50u: 4.3994 (users=53424)
  100u: 8.5418 (users=53424)
  200u: 11.2630 (users=53424)
  300u: 11.9908 (users=53424)
  500u: 12.6045 (users=53424)
  1000u: 7.0615 (users=53424)
  2000u: 0.0560 (users=53424)

k = 25
  original: 2.2660 (users=53424)
  2u: 2.1777 (users=53424)
  4u: 2.3088 (users=53424)
  6u: 2.4303 (users=53424)
  25u: 4.7051 (users=53424)
  50u: 7.0861 (users=53424)
  100u: 13.5344 (users=53424)
  200u: 18.0825 (users=53424)
  300u: 19.3879 (users=53424)
  500u: 20.3251 (users=53424)
  1000u: 15.1437 (users=53424)
  2000u: 0.1605 (users=53424)

k = 35
  original: 3.0115 (users=53424)
  2u: 2.9216 (users=53424)
  4u: 3.0389 (users=53424)
  6u: 3.3647 (users=53424)
  25u: 6.4075 (users=53424)
  50u: 9.6691 (users=53424)
  100u: 18.2076 (users=53424)
  200u: 24.6951 (users=53424)
  300u: 26.5701 (users=53424)
  500u: 27.8333 (users=53424)
  1000u: 23.9602 (users=53424)
  2000u: 0.3182 (users=53424)

