NMF Analysis for Genre: Horror

Metric: Average count of target genre per user

k = 15
  original: 1.3348 (users=53424)
  2u: 1.6716 (users=53424)
  4u: 1.5146 (users=53424)
  6u: 1.4079 (users=53424)
  25u: 2.4753 (users=53424)
  50u: 3.8243 (users=53424)
  100u: 6.0360 (users=53424)
  200u: 9.4242 (users=53424)
  300u: 10.3781 (users=53424)
  500u: 10.5099 (users=53424)
  2000u: 10.5000 (users=53424)

k = 25
  original: 2.2863 (users=53424)
  2u: 2.7608 (users=53424)
  4u: 2.7901 (users=53424)
  6u: 2.4932 (users=53424)
  25u: 4.1413 (users=53424)
  50u: 6.4038 (users=53424)
  100u: 10.1892 (users=53424)
  200u: 15.7465 (users=53424)
  300u: 17.2645 (users=53424)
  500u: 17.2723 (users=53424)
  2000u: 16.4117 (users=53424)

k = 35
  original: 3.2372 (users=53424)
  2u: 3.8246 (users=53424)
  4u: 4.0077 (users=53424)
  6u: 3.6428 (users=53424)
  25u: 5.8323 (users=53424)
  50u: 8.9421 (users=53424)
  100u: 14.2502 (users=53424)
  200u: 21.9341 (users=53424)
  300u: 24.0873 (users=53424)
  500u: 24.0694 (users=53424)
  2000u: 22.0939 (users=53424)

