NMF Analysis for Genre: Mystery

Metric: Average count of target genre per user

k = 15
  original: 3.6569 (users=53424)
  2u: 3.1119 (users=53424)
  4u: 3.6347 (users=53424)
  6u: 4.2627 (users=53424)
  25u: 4.1804 (users=53424)
  50u: 5.7328 (users=53424)
  100u: 8.9398 (users=53424)
  200u: 11.6105 (users=53424)
  300u: 12.0947 (users=53424)
  500u: 10.9444 (users=53424)
  2000u: 10.0382 (users=53424)

k = 25
  original: 6.0164 (users=53424)
  2u: 5.4005 (users=53424)
  4u: 6.0720 (users=53424)
  6u: 6.7854 (users=53424)
  25u: 7.1210 (users=53424)
  50u: 9.8003 (users=53424)
  100u: 14.4585 (users=53424)
  200u: 18.6227 (users=53424)
  300u: 19.3762 (users=53424)
  500u: 18.0346 (users=53424)
  2000u: 16.2254 (users=53424)

k = 35
  original: 8.3666 (users=53424)
  2u: 7.6460 (users=53424)
  4u: 8.5129 (users=53424)
  6u: 9.2246 (users=53424)
  25u: 10.1099 (users=53424)
  50u: 13.8644 (users=53424)
  100u: 19.6936 (users=53424)
  200u: 25.3766 (users=53424)
  300u: 26.4171 (users=53424)
  500u: 24.8832 (users=53424)
  2000u: 22.2140 (users=53424)

