SVD Analysis for Genre: Adult

Metric: Average count of target genre per user

k = 15
  original: 1.0109 (users=53424)
  2u: 0.9469 (users=53424)
  4u: 1.2834 (users=53424)
  6u: 2.1198 (users=53424)
  25u: 8.1067 (users=53424)
  50u: 9.0674 (users=53424)
  100u: 8.6565 (users=53424)
  200u: 9.2909 (users=53424)
  300u: 9.0029 (users=53424)
  500u: 10.0060 (users=53424)
  1000u: 10.4714 (users=53424)
  2000u: 11.7501 (users=53424)

k = 25
  original: 1.4360 (users=53424)
  2u: 1.3990 (users=53424)
  4u: 2.0057 (users=53424)
  6u: 3.3025 (users=53424)
  25u: 11.7610 (users=53424)
  50u: 12.9268 (users=53424)
  100u: 12.3553 (users=53424)
  200u: 13.5461 (users=53424)
  300u: 13.2315 (users=53424)
  500u: 14.6558 (users=53424)
  1000u: 15.2746 (users=53424)
  2000u: 17.2648 (users=53424)

k = 35
  original: 1.8131 (users=53424)
  2u: 1.8291 (users=53424)
  4u: 2.6945 (users=53424)
  6u: 4.4089 (users=53424)
  25u: 14.7691 (users=53424)
  50u: 16.0868 (users=53424)
  100u: 15.4998 (users=53424)
  200u: 17.1969 (users=53424)
  300u: 16.9129 (users=53424)
  500u: 18.6618 (users=53424)
  1000u: 19.4484 (users=53424)
  2000u: 22.0187 (users=53424)

