SVD Analysis for Genre: Drama

Metric: Average count of target genre per user

k = 15
  original: 5.0686 (users=53424)
  2u: 4.9717 (users=53424)
  4u: 5.5446 (users=53424)
  6u: 6.2982 (users=53424)
  25u: 7.1501 (users=53424)
  50u: 7.0042 (users=53424)
  100u: 7.1983 (users=53424)
  200u: 7.2095 (users=53424)
  300u: 7.5186 (users=53424)
  500u: 8.0091 (users=53424)
  1000u: 8.4340 (users=53424)
  2000u: 9.3701 (users=53424)

k = 25
  original: 8.4126 (users=53424)
  2u: 8.2370 (users=53424)
  4u: 9.1478 (users=53424)
  6u: 10.2625 (users=53424)
  25u: 11.5496 (users=53424)
  50u: 11.3396 (users=53424)
  100u: 11.5537 (users=53424)
  200u: 11.6421 (users=53424)
  300u: 12.1588 (users=53424)
  500u: 12.7206 (users=53424)
  1000u: 13.4673 (users=53424)
  2000u: 14.9026 (users=53424)

k = 35
  original: 11.7297 (users=53424)
  2u: 11.5081 (users=53424)
  4u: 12.7100 (users=53424)
  6u: 14.1634 (users=53424)
  25u: 15.8659 (users=53424)
  50u: 15.6348 (users=53424)
  100u: 15.8467 (users=53424)
  200u: 16.0314 (users=53424)
  300u: 16.6891 (users=53424)
  500u: 17.3163 (users=53424)
  1000u: 18.3760 (users=53424)
  2000u: 20.2738 (users=53424)

