NMF Analysis for Genre: Romance

Metric: Average count of target genre per user

k = 15
  original: 2.5776 (users=53424)
  2u: 2.1888 (users=53424)
  4u: 2.3316 (users=53424)
  6u: 2.3695 (users=53424)
  25u: 2.8603 (users=53424)
  50u: 5.2537 (users=53424)
  100u: 9.1600 (users=53424)
  200u: 12.4767 (users=53424)
  300u: 12.7260 (users=53424)
  500u: 12.6878 (users=53424)
  1000u: 8.0941 (users=53424)
  2000u: 12.0995 (users=53424)

k = 25
  original: 4.0267 (users=53424)
  2u: 3.5582 (users=53424)
  4u: 3.7450 (users=53424)
  6u: 3.7962 (users=53424)
  25u: 4.7388 (users=53424)
  50u: 8.3334 (users=53424)
  100u: 14.1250 (users=53424)
  200u: 19.3799 (users=53424)
  300u: 20.0465 (users=53424)
  500u: 19.6720 (users=53424)
  1000u: 14.8222 (users=53424)
  2000u: 18.9769 (users=53424)

k = 35
  original: 5.3763 (users=53424)
  2u: 4.8603 (users=53424)
  4u: 5.1040 (users=53424)
  6u: 5.1458 (users=53424)
  25u: 6.6483 (users=53424)
  50u: 11.2752 (users=53424)
  100u: 18.6978 (users=53424)
  200u: 25.7103 (users=53424)
  300u: 27.0009 (users=53424)
  500u: 26.1546 (users=53424)
  1000u: 22.0778 (users=53424)
  2000u: 25.4970 (users=53424)

