SVD Analysis for Genre: Mystery

Metric: Average count of target genre per user

k = 15
  original: 3.9427 (users=53424)
  2u: 3.5074 (users=53424)
  4u: 4.2324 (users=53424)
  6u: 4.2333 (users=53424)
  25u: 4.9055 (users=53424)
  50u: 5.1823 (users=53424)
  100u: 4.7929 (users=53424)
  200u: 5.2212 (users=53424)
  300u: 5.3898 (users=53424)
  500u: 5.5847 (users=53424)
  1000u: 5.4429 (users=53424)
  2000u: 5.4066 (users=53424)

k = 25
  original: 6.3568 (users=53424)
  2u: 5.9547 (users=53424)
  4u: 6.8731 (users=53424)
  6u: 7.1298 (users=53424)
  25u: 8.2374 (users=53424)
  50u: 8.5930 (users=53424)
  100u: 8.0663 (users=53424)
  200u: 8.5685 (users=53424)
  300u: 8.8308 (users=53424)
  500u: 9.1345 (users=53424)
  1000u: 8.8362 (users=53424)
  2000u: 8.8340 (users=53424)

k = 35
  original: 8.7447 (users=53424)
  2u: 8.3883 (users=53424)
  4u: 9.4822 (users=53424)
  6u: 9.9976 (users=53424)
  25u: 11.5938 (users=53424)
  50u: 11.9714 (users=53424)
  100u: 11.3151 (users=53424)
  200u: 11.8847 (users=53424)
  300u: 12.2310 (users=53424)
  500u: 12.5898 (users=53424)
  1000u: 12.1437 (users=53424)
  2000u: 12.1818 (users=53424)

