SVD Analysis for Genre: Romance

Metric: Average count of target genre per user

k = 15
  original: 2.8100 (users=53424)
  2u: 2.9947 (users=53424)
  4u: 3.2831 (users=53424)
  6u: 4.2419 (users=53424)
  25u: 4.8290 (users=53424)
  50u: 5.0098 (users=53424)
  100u: 4.6247 (users=53424)
  200u: 5.0784 (users=53424)
  300u: 5.0770 (users=53424)
  500u: 4.9263 (users=53424)
  1000u: 5.2199 (users=53424)
  2000u: 5.1739 (users=53424)

k = 25
  original: 4.6032 (users=53424)
  2u: 4.8911 (users=53424)
  4u: 5.3667 (users=53424)
  6u: 6.8574 (users=53424)
  25u: 7.7167 (users=53424)
  50u: 7.9840 (users=53424)
  100u: 7.4038 (users=53424)
  200u: 7.9701 (users=53424)
  300u: 8.0493 (users=53424)
  500u: 7.7964 (users=53424)
  1000u: 8.2716 (users=53424)
  2000u: 8.2875 (users=53424)

k = 35
  original: 6.3760 (users=53424)
  2u: 6.7833 (users=53424)
  4u: 7.4166 (users=53424)
  6u: 9.3443 (users=53424)
  25u: 10.5056 (users=53424)
  50u: 10.8385 (users=53424)
  100u: 10.1052 (users=53424)
  200u: 10.7687 (users=53424)
  300u: 10.8932 (users=53424)
  500u: 10.5530 (users=53424)
  1000u: 11.1825 (users=53424)
  2000u: 11.2546 (users=53424)

