Adult + Classics:
pair_both (contains both genres):
  original 15: unique_books: 1
  original 25: unique_books: 2
  original 35: unique_books: 2
  2u, 15, unique_books: 2
  4u, 15, unique_books: 5
  6u, 15, unique_books: 5
  25u, 15, unique_books: 5
  50u, 15, unique_books: 5
  100u, 15, unique_books: 5
  200u, 15, unique_books: 5
  300u, 15, unique_books: 5
  500u, 15, unique_books: 5
  1000u, 15, unique_books: 5
  2u, 25, unique_books: 4
  4u, 25, unique_books: 5
  6u, 25, unique_books: 5
  25u, 25, unique_books: 5
  50u, 25, unique_books: 5
  100u, 25, unique_books: 5
  200u, 25, unique_books: 5
  300u, 25, unique_books: 5
  500u, 25, unique_books: 5
  1000u, 25, unique_books: 5
  2u, 35, unique_books: 4
  4u, 35, unique_books: 5
  6u, 35, unique_books: 5
  25u, 35, unique_books: 5
  50u, 35, unique_books: 5
  100u, 35, unique_books: 5
  200u, 35, unique_books: 5
  300u, 35, unique_books: 5
  500u, 35, unique_books: 5
  1000u, 35, unique_books: 5

G1 contains only (any book containing G1):
  original 15: unique_books: 86
  original 25: unique_books: 110
  original 35: unique_books: 129
  2u, 15, unique_books: 86
  4u, 15, unique_books: 102
  6u, 15, unique_books: 91
  25u, 15, unique_books: 92
  50u, 15, unique_books: 80
  100u, 15, unique_books: 76
  200u, 15, unique_books: 71
  300u, 15, unique_books: 79
  500u, 15, unique_books: 81
  1000u, 15, unique_books: 62
  2u, 25, unique_books: 116
  4u, 25, unique_books: 122
  6u, 25, unique_books: 116
  25u, 25, unique_books: 121
  50u, 25, unique_books: 108
  100u, 25, unique_books: 105
  200u, 25, unique_books: 99
  300u, 25, unique_books: 101
  500u, 25, unique_books: 100
  1000u, 25, unique_books: 87
  2u, 35, unique_books: 131
  4u, 35, unique_books: 146
  6u, 35, unique_books: 137
  25u, 35, unique_books: 137
  50u, 35, unique_books: 130
  100u, 35, unique_books: 120
  200u, 35, unique_books: 118
  300u, 35, unique_books: 123
  500u, 35, unique_books: 118
  1000u, 35, unique_books: 104

G2 contains only (any book containing G2):
  original 15: unique_books: 167
  original 25: unique_books: 234
  original 35: unique_books: 305
  2u, 15, unique_books: 182
  4u, 15, unique_books: 190
  6u, 15, unique_books: 156
  25u, 15, unique_books: 157
  50u, 15, unique_books: 159
  100u, 15, unique_books: 169
  200u, 15, unique_books: 162
  300u, 15, unique_books: 170
  500u, 15, unique_books: 193
  1000u, 15, unique_books: 194
  2u, 25, unique_books: 256
  4u, 25, unique_books: 267
  6u, 25, unique_books: 240
  25u, 25, unique_books: 215
  50u, 25, unique_books: 231
  100u, 25, unique_books: 245
  200u, 25, unique_books: 249
  300u, 25, unique_books: 245
  500u, 25, unique_books: 281
  1000u, 25, unique_books: 255
  2u, 35, unique_books: 326
  4u, 35, unique_books: 326
  6u, 35, unique_books: 293
  25u, 35, unique_books: 288
  50u, 35, unique_books: 289
  100u, 35, unique_books: 314
  200u, 35, unique_books: 308
  300u, 35, unique_books: 316
  500u, 35, unique_books: 343
  1000u, 35, unique_books: 326
