Adult + Mystery:
pair_both (contains both genres):
  original 15: unique_books: 3
  original 25: unique_books: 4
  original 35: unique_books: 5
  2u, 15, unique_books: 5
  4u, 15, unique_books: 8
  6u, 15, unique_books: 8
  25u, 15, unique_books: 8
  50u, 15, unique_books: 8
  100u, 15, unique_books: 8
  200u, 15, unique_books: 8
  300u, 15, unique_books: 8
  500u, 15, unique_books: 8
  1000u, 15, unique_books: 8
  2u, 25, unique_books: 6
  4u, 25, unique_books: 8
  6u, 25, unique_books: 8
  25u, 25, unique_books: 8
  50u, 25, unique_books: 8
  100u, 25, unique_books: 8
  200u, 25, unique_books: 8
  300u, 25, unique_books: 8
  500u, 25, unique_books: 8
  1000u, 25, unique_books: 8
  2u, 35, unique_books: 6
  4u, 35, unique_books: 8
  6u, 35, unique_books: 8
  25u, 35, unique_books: 8
  50u, 35, unique_books: 8
  100u, 35, unique_books: 8
  200u, 35, unique_books: 8
  300u, 35, unique_books: 8
  500u, 35, unique_books: 8
  1000u, 35, unique_books: 8

G1 contains only (any book containing G1):
  original 15: unique_books: 86
  original 25: unique_books: 110
  original 35: unique_books: 129
  2u, 15, unique_books: 88
  4u, 15, unique_books: 100
  6u, 15, unique_books: 89
  25u, 15, unique_books: 87
  50u, 15, unique_books: 72
  100u, 15, unique_books: 73
  200u, 15, unique_books: 74
  300u, 15, unique_books: 76
  500u, 15, unique_books: 79
  1000u, 15, unique_books: 66
  2u, 25, unique_books: 115
  4u, 25, unique_books: 118
  6u, 25, unique_books: 112
  25u, 25, unique_books: 114
  50u, 25, unique_books: 99
  100u, 25, unique_books: 103
  200u, 25, unique_books: 97
  300u, 25, unique_books: 100
  500u, 25, unique_books: 97
  1000u, 25, unique_books: 86
  2u, 35, unique_books: 130
  4u, 35, unique_books: 140
  6u, 35, unique_books: 135
  25u, 35, unique_books: 129
  50u, 35, unique_books: 121
  100u, 35, unique_books: 117
  200u, 35, unique_books: 115
  300u, 35, unique_books: 119
  500u, 35, unique_books: 114
  1000u, 35, unique_books: 101

G2 contains only (any book containing G2):
  original 15: unique_books: 438
  original 25: unique_books: 606
  original 35: unique_books: 732
  2u, 15, unique_books: 446
  4u, 15, unique_books: 510
  6u, 15, unique_books: 429
  25u, 15, unique_books: 386
  50u, 15, unique_books: 382
  100u, 15, unique_books: 391
  200u, 15, unique_books: 409
  300u, 15, unique_books: 406
  500u, 15, unique_books: 406
  1000u, 15, unique_books: 414
  2u, 25, unique_books: 600
  4u, 25, unique_books: 662
  6u, 25, unique_books: 570
  25u, 25, unique_books: 552
  50u, 25, unique_books: 521
  100u, 25, unique_books: 542
  200u, 25, unique_books: 561
  300u, 25, unique_books: 579
  500u, 25, unique_books: 555
  1000u, 25, unique_books: 552
  2u, 35, unique_books: 714
  4u, 35, unique_books: 787
  6u, 35, unique_books: 690
  25u, 35, unique_books: 691
  50u, 35, unique_books: 632
  100u, 35, unique_books: 658
  200u, 35, unique_books: 685
  300u, 35, unique_books: 706
  500u, 35, unique_books: 699
  1000u, 35, unique_books: 661
