Adult + Nonfiction:
pair_both (contains both genres):
  original 15: unique_books: 5
  original 25: unique_books: 6
  original 35: unique_books: 7
  2u, 15, unique_books: 10
  4u, 15, unique_books: 20
  6u, 15, unique_books: 24
  25u, 15, unique_books: 24
  50u, 15, unique_books: 24
  100u, 15, unique_books: 24
  200u, 15, unique_books: 24
  300u, 15, unique_books: 24
  500u, 15, unique_books: 24
  1000u, 15, unique_books: 24
  2u, 25, unique_books: 13
  4u, 25, unique_books: 21
  6u, 25, unique_books: 24
  25u, 25, unique_books: 24
  50u, 25, unique_books: 24
  100u, 25, unique_books: 24
  200u, 25, unique_books: 24
  300u, 25, unique_books: 24
  500u, 25, unique_books: 24
  1000u, 25, unique_books: 24
  2u, 35, unique_books: 15
  4u, 35, unique_books: 22
  6u, 35, unique_books: 24
  25u, 35, unique_books: 24
  50u, 35, unique_books: 24
  100u, 35, unique_books: 24
  200u, 35, unique_books: 24
  300u, 35, unique_books: 24
  500u, 35, unique_books: 24
  1000u, 35, unique_books: 24

G1 contains only (any book containing G1):
  original 15: unique_books: 86
  original 25: unique_books: 110
  original 35: unique_books: 129
  2u, 15, unique_books: 88
  4u, 15, unique_books: 113
  6u, 15, unique_books: 102
  25u, 15, unique_books: 87
  50u, 15, unique_books: 78
  100u, 15, unique_books: 80
  200u, 15, unique_books: 72
  300u, 15, unique_books: 87
  500u, 15, unique_books: 86
  1000u, 15, unique_books: 73
  2u, 25, unique_books: 120
  4u, 25, unique_books: 129
  6u, 25, unique_books: 124
  25u, 25, unique_books: 110
  50u, 25, unique_books: 102
  100u, 25, unique_books: 99
  200u, 25, unique_books: 91
  300u, 25, unique_books: 98
  500u, 25, unique_books: 103
  1000u, 25, unique_books: 97
  2u, 35, unique_books: 137
  4u, 35, unique_books: 155
  6u, 35, unique_books: 146
  25u, 35, unique_books: 130
  50u, 35, unique_books: 118
  100u, 35, unique_books: 117
  200u, 35, unique_books: 112
  300u, 35, unique_books: 115
  500u, 35, unique_books: 114
  1000u, 35, unique_books: 114

G2 contains only (any book containing G2):
  original 15: unique_books: 249
  original 25: unique_books: 317
  original 35: unique_books: 375
  2u, 15, unique_books: 241
  4u, 15, unique_books: 258
  6u, 15, unique_books: 239
  25u, 15, unique_books: 206
  50u, 15, unique_books: 183
  100u, 15, unique_books: 201
  200u, 15, unique_books: 201
  300u, 15, unique_books: 207
  500u, 15, unique_books: 212
  1000u, 15, unique_books: 217
  2u, 25, unique_books: 320
  4u, 25, unique_books: 330
  6u, 25, unique_books: 309
  25u, 25, unique_books: 280
  50u, 25, unique_books: 260
  100u, 25, unique_books: 270
  200u, 25, unique_books: 277
  300u, 25, unique_books: 275
  500u, 25, unique_books: 283
  1000u, 25, unique_books: 289
  2u, 35, unique_books: 381
  4u, 35, unique_books: 387
  6u, 35, unique_books: 366
  25u, 35, unique_books: 331
  50u, 35, unique_books: 319
  100u, 35, unique_books: 320
  200u, 35, unique_books: 334
  300u, 35, unique_books: 339
  500u, 35, unique_books: 342
  1000u, 35, unique_books: 347
