Fantasy + Horror:
pair_both (contains both genres):
  original 15: unique_books: 63
  original 25: unique_books: 84
  original 35: unique_books: 104
  2u, 15, unique_books: 85
  4u, 15, unique_books: 122
  6u, 15, unique_books: 140
  25u, 15, unique_books: 166
  50u, 15, unique_books: 197
  100u, 15, unique_books: 211
  200u, 15, unique_books: 195
  300u, 15, unique_books: 173
  500u, 15, unique_books: 171
  1000u, 15, unique_books: 168
  2u, 25, unique_books: 115
  4u, 25, unique_books: 150
  6u, 25, unique_books: 157
  25u, 25, unique_books: 191
  50u, 25, unique_books: 214
  100u, 25, unique_books: 227
  200u, 25, unique_books: 218
  300u, 25, unique_books: 202
  500u, 25, unique_books: 193
  1000u, 25, unique_books: 195
  2u, 35, unique_books: 129
  4u, 35, unique_books: 163
  6u, 35, unique_books: 174
  25u, 35, unique_books: 207
  50u, 35, unique_books: 219
  100u, 35, unique_books: 233
  200u, 35, unique_books: 223
  300u, 35, unique_books: 216
  500u, 35, unique_books: 206
  1000u, 35, unique_books: 214

G1 contains only (any book containing G1):
  original 15: unique_books: 504
  original 25: unique_books: 676
  original 35: unique_books: 809
  2u, 15, unique_books: 512
  4u, 15, unique_books: 571
  6u, 15, unique_books: 549
  25u, 15, unique_books: 539
  50u, 15, unique_books: 527
  100u, 15, unique_books: 570
  200u, 15, unique_books: 554
  300u, 15, unique_books: 557
  500u, 15, unique_books: 575
  1000u, 15, unique_books: 582
  2u, 25, unique_books: 696
  4u, 25, unique_books: 735
  6u, 25, unique_books: 709
  25u, 25, unique_books: 666
  50u, 25, unique_books: 665
  100u, 25, unique_books: 714
  200u, 25, unique_books: 696
  300u, 25, unique_books: 707
  500u, 25, unique_books: 725
  1000u, 25, unique_books: 755
  2u, 35, unique_books: 822
  4u, 35, unique_books: 864
  6u, 35, unique_books: 834
  25u, 35, unique_books: 766
  50u, 35, unique_books: 779
  100u, 35, unique_books: 805
  200u, 35, unique_books: 809
  300u, 35, unique_books: 827
  500u, 35, unique_books: 839
  1000u, 35, unique_books: 868

G2 contains only (any book containing G2):
  original 15: unique_books: 170
  original 25: unique_books: 238
  original 35: unique_books: 281
  2u, 15, unique_books: 196
  4u, 15, unique_books: 240
  6u, 15, unique_books: 241
  25u, 15, unique_books: 263
  50u, 15, unique_books: 280
  100u, 15, unique_books: 299
  200u, 15, unique_books: 299
  300u, 15, unique_books: 267
  500u, 15, unique_books: 267
  1000u, 15, unique_books: 269
  2u, 25, unique_books: 260
  4u, 25, unique_books: 304
  6u, 25, unique_books: 292
  25u, 25, unique_books: 317
  50u, 25, unique_books: 321
  100u, 25, unique_books: 348
  200u, 25, unique_books: 349
  300u, 25, unique_books: 332
  500u, 25, unique_books: 328
  1000u, 25, unique_books: 334
  2u, 35, unique_books: 302
  4u, 35, unique_books: 336
  6u, 35, unique_books: 333
  25u, 35, unique_books: 359
  50u, 35, unique_books: 348
  100u, 35, unique_books: 372
  200u, 35, unique_books: 376
  300u, 35, unique_books: 377
  500u, 35, unique_books: 371
  1000u, 35, unique_books: 373
