Fantasy + Nonfiction:
pair_both (contains both genres):
  original 15: unique_books: 7
  original 25: unique_books: 10
  original 35: unique_books: 12
  2u, 15, unique_books: 15
  4u, 15, unique_books: 22
  6u, 15, unique_books: 23
  25u, 15, unique_books: 23
  50u, 15, unique_books: 23
  100u, 15, unique_books: 23
  200u, 15, unique_books: 23
  300u, 15, unique_books: 23
  500u, 15, unique_books: 23
  1000u, 15, unique_books: 23
  2u, 25, unique_books: 19
  4u, 25, unique_books: 23
  6u, 25, unique_books: 23
  25u, 25, unique_books: 23
  50u, 25, unique_books: 23
  100u, 25, unique_books: 23
  200u, 25, unique_books: 23
  300u, 25, unique_books: 23
  500u, 25, unique_books: 23
  1000u, 25, unique_books: 23
  2u, 35, unique_books: 20
  4u, 35, unique_books: 23
  6u, 35, unique_books: 23
  25u, 35, unique_books: 23
  50u, 35, unique_books: 23
  100u, 35, unique_books: 23
  200u, 35, unique_books: 23
  300u, 35, unique_books: 23
  500u, 35, unique_books: 23
  1000u, 35, unique_books: 23

G1 contains only (any book containing G1):
  original 15: unique_books: 504
  original 25: unique_books: 676
  original 35: unique_books: 809
  2u, 15, unique_books: 484
  4u, 15, unique_books: 522
  6u, 15, unique_books: 461
  25u, 15, unique_books: 392
  50u, 15, unique_books: 371
  100u, 15, unique_books: 392
  200u, 15, unique_books: 419
  300u, 15, unique_books: 423
  500u, 15, unique_books: 492
  1000u, 15, unique_books: 464
  2u, 25, unique_books: 668
  4u, 25, unique_books: 686
  6u, 25, unique_books: 637
  25u, 25, unique_books: 550
  50u, 25, unique_books: 529
  100u, 25, unique_books: 543
  200u, 25, unique_books: 547
  300u, 25, unique_books: 572
  500u, 25, unique_books: 628
  1000u, 25, unique_books: 627
  2u, 35, unique_books: 806
  4u, 35, unique_books: 827
  6u, 35, unique_books: 765
  25u, 35, unique_books: 672
  50u, 35, unique_books: 653
  100u, 35, unique_books: 662
  200u, 35, unique_books: 668
  300u, 35, unique_books: 693
  500u, 35, unique_books: 731
  1000u, 35, unique_books: 731

G2 contains only (any book containing G2):
  original 15: unique_books: 249
  original 25: unique_books: 317
  original 35: unique_books: 375
  2u, 15, unique_books: 232
  4u, 15, unique_books: 248
  6u, 15, unique_books: 218
  25u, 15, unique_books: 215
  50u, 15, unique_books: 184
  100u, 15, unique_books: 201
  200u, 15, unique_books: 194
  300u, 15, unique_books: 205
  500u, 15, unique_books: 219
  1000u, 15, unique_books: 207
  2u, 25, unique_books: 309
  4u, 25, unique_books: 316
  6u, 25, unique_books: 298
  25u, 25, unique_books: 277
  50u, 25, unique_books: 251
  100u, 25, unique_books: 273
  200u, 25, unique_books: 263
  300u, 25, unique_books: 276
  500u, 25, unique_books: 288
  1000u, 25, unique_books: 285
  2u, 35, unique_books: 374
  4u, 35, unique_books: 371
  6u, 35, unique_books: 357
  25u, 35, unique_books: 333
  50u, 35, unique_books: 304
  100u, 35, unique_books: 334
  200u, 35, unique_books: 325
  300u, 35, unique_books: 334
  500u, 35, unique_books: 344
  1000u, 35, unique_books: 342
