Classics + Fantasy:
pair_both (contains both genres):
  original 15: unique_books: 3
  original 25: unique_books: 3
  original 35: unique_books: 6
  2u, 15, unique_books: 9
  4u, 15, unique_books: 23
  6u, 15, unique_books: 24
  25u, 15, unique_books: 25
  50u, 15, unique_books: 25
  100u, 15, unique_books: 25
  200u, 15, unique_books: 25
  300u, 15, unique_books: 25
  500u, 15, unique_books: 25
  1000u, 15, unique_books: 25
  2u, 25, unique_books: 12
  4u, 25, unique_books: 24
  6u, 25, unique_books: 25
  25u, 25, unique_books: 25
  50u, 25, unique_books: 25
  100u, 25, unique_books: 25
  200u, 25, unique_books: 25
  300u, 25, unique_books: 25
  500u, 25, unique_books: 25
  1000u, 25, unique_books: 25
  2u, 35, unique_books: 16
  4u, 35, unique_books: 24
  6u, 35, unique_books: 25
  25u, 35, unique_books: 25
  50u, 35, unique_books: 25
  100u, 35, unique_books: 25
  200u, 35, unique_books: 25
  300u, 35, unique_books: 25
  500u, 35, unique_books: 25
  1000u, 35, unique_books: 25

G1 contains only (any book containing G1):
  original 15: unique_books: 167
  original 25: unique_books: 234
  original 35: unique_books: 305
  2u, 15, unique_books: 182
  4u, 15, unique_books: 198
  6u, 15, unique_books: 160
  25u, 15, unique_books: 134
  50u, 15, unique_books: 132
  100u, 15, unique_books: 135
  200u, 15, unique_books: 132
  300u, 15, unique_books: 149
  500u, 15, unique_books: 187
  1000u, 15, unique_books: 187
  2u, 25, unique_books: 257
  4u, 25, unique_books: 274
  6u, 25, unique_books: 237
  25u, 25, unique_books: 185
  50u, 25, unique_books: 201
  100u, 25, unique_books: 187
  200u, 25, unique_books: 201
  300u, 25, unique_books: 227
  500u, 25, unique_books: 260
  1000u, 25, unique_books: 255
  2u, 35, unique_books: 323
  4u, 35, unique_books: 330
  6u, 35, unique_books: 299
  25u, 35, unique_books: 244
  50u, 35, unique_books: 253
  100u, 35, unique_books: 256
  200u, 35, unique_books: 263
  300u, 35, unique_books: 280
  500u, 35, unique_books: 306
  1000u, 35, unique_books: 319

G2 contains only (any book containing G2):
  original 15: unique_books: 504
  original 25: unique_books: 676
  original 35: unique_books: 809
  2u, 15, unique_books: 508
  4u, 15, unique_books: 557
  6u, 15, unique_books: 506
  25u, 15, unique_books: 428
  50u, 15, unique_books: 360
  100u, 15, unique_books: 389
  200u, 15, unique_books: 409
  300u, 15, unique_books: 433
  500u, 15, unique_books: 488
  1000u, 15, unique_books: 484
  2u, 25, unique_books: 677
  4u, 25, unique_books: 721
  6u, 25, unique_books: 680
  25u, 25, unique_books: 559
  50u, 25, unique_books: 506
  100u, 25, unique_books: 522
  200u, 25, unique_books: 530
  300u, 25, unique_books: 575
  500u, 25, unique_books: 624
  1000u, 25, unique_books: 617
  2u, 35, unique_books: 816
  4u, 35, unique_books: 860
  6u, 35, unique_books: 805
  25u, 35, unique_books: 678
  50u, 35, unique_books: 616
  100u, 35, unique_books: 630
  200u, 35, unique_books: 645
  300u, 35, unique_books: 687
  500u, 35, unique_books: 740
  1000u, 35, unique_books: 752
