Drama + Horror:
pair_both (contains both genres):
  original 15: unique_books: 14
  original 25: unique_books: 16
  original 35: unique_books: 17
  2u, 15, unique_books: 25
  4u, 15, unique_books: 32
  6u, 15, unique_books: 33
  25u, 15, unique_books: 33
  50u, 15, unique_books: 33
  100u, 15, unique_books: 33
  200u, 15, unique_books: 33
  300u, 15, unique_books: 33
  500u, 15, unique_books: 33
  1000u, 15, unique_books: 33
  2u, 25, unique_books: 26
  4u, 25, unique_books: 33
  6u, 25, unique_books: 33
  25u, 25, unique_books: 33
  50u, 25, unique_books: 33
  100u, 25, unique_books: 33
  200u, 25, unique_books: 33
  300u, 25, unique_books: 33
  500u, 25, unique_books: 33
  1000u, 25, unique_books: 33
  2u, 35, unique_books: 27
  4u, 35, unique_books: 33
  6u, 35, unique_books: 33
  25u, 35, unique_books: 33
  50u, 35, unique_books: 33
  100u, 35, unique_books: 33
  200u, 35, unique_books: 33
  300u, 35, unique_books: 33
  500u, 35, unique_books: 33
  1000u, 35, unique_books: 33

G1 contains only (any book containing G1):
  original 15: unique_books: 592
  original 25: unique_books: 790
  original 35: unique_books: 970
  2u, 15, unique_books: 609
  4u, 15, unique_books: 612
  6u, 15, unique_books: 533
  25u, 15, unique_books: 466
  50u, 15, unique_books: 408
  100u, 15, unique_books: 414
  200u, 15, unique_books: 451
  300u, 15, unique_books: 433
  500u, 15, unique_books: 532
  1000u, 15, unique_books: 501
  2u, 25, unique_books: 796
  4u, 25, unique_books: 819
  6u, 25, unique_books: 715
  25u, 25, unique_books: 644
  50u, 25, unique_books: 588
  100u, 25, unique_books: 570
  200u, 25, unique_books: 617
  300u, 25, unique_books: 610
  500u, 25, unique_books: 700
  1000u, 25, unique_books: 677
  2u, 35, unique_books: 956
  4u, 35, unique_books: 988
  6u, 35, unique_books: 869
  25u, 35, unique_books: 776
  50u, 35, unique_books: 727
  100u, 35, unique_books: 733
  200u, 35, unique_books: 760
  300u, 35, unique_books: 770
  500u, 35, unique_books: 850
  1000u, 35, unique_books: 837

G2 contains only (any book containing G2):
  original 15: unique_books: 170
  original 25: unique_books: 238
  original 35: unique_books: 281
  2u, 15, unique_books: 185
  4u, 15, unique_books: 191
  6u, 15, unique_books: 172
  25u, 15, unique_books: 137
  50u, 15, unique_books: 134
  100u, 15, unique_books: 136
  200u, 15, unique_books: 136
  300u, 15, unique_books: 153
  500u, 15, unique_books: 163
  1000u, 15, unique_books: 150
  2u, 25, unique_books: 234
  4u, 25, unique_books: 249
  6u, 25, unique_books: 217
  25u, 25, unique_books: 196
  50u, 25, unique_books: 170
  100u, 25, unique_books: 186
  200u, 25, unique_books: 175
  300u, 25, unique_books: 204
  500u, 25, unique_books: 217
  1000u, 25, unique_books: 200
  2u, 35, unique_books: 281
  4u, 35, unique_books: 284
  6u, 35, unique_books: 252
  25u, 35, unique_books: 235
  50u, 35, unique_books: 214
  100u, 35, unique_books: 218
  200u, 35, unique_books: 220
  300u, 35, unique_books: 239
  500u, 35, unique_books: 264
  1000u, 35, unique_books: 244
