Horror + Nonfiction:
pair_both (contains both genres):
  original 15: unique_books: 0
  original 25: unique_books: 0
  original 35: unique_books: 0
  2u, 15, unique_books: 0
  4u, 15, unique_books: 3
  6u, 15, unique_books: 3
  25u, 15, unique_books: 4
  50u, 15, unique_books: 4
  100u, 15, unique_books: 4
  200u, 15, unique_books: 4
  300u, 15, unique_books: 4
  500u, 15, unique_books: 4
  1000u, 15, unique_books: 4
  2u, 25, unique_books: 0
  4u, 25, unique_books: 3
  6u, 25, unique_books: 4
  25u, 25, unique_books: 4
  50u, 25, unique_books: 4
  100u, 25, unique_books: 4
  200u, 25, unique_books: 4
  300u, 25, unique_books: 4
  500u, 25, unique_books: 4
  1000u, 25, unique_books: 4
  2u, 35, unique_books: 1
  4u, 35, unique_books: 3
  6u, 35, unique_books: 4
  25u, 35, unique_books: 4
  50u, 35, unique_books: 4
  100u, 35, unique_books: 4
  200u, 35, unique_books: 4
  300u, 35, unique_books: 4
  500u, 35, unique_books: 4
  1000u, 35, unique_books: 4

G1 contains only (any book containing G1):
  original 15: unique_books: 170
  original 25: unique_books: 238
  original 35: unique_books: 281
  2u, 15, unique_books: 175
  4u, 15, unique_books: 186
  6u, 15, unique_books: 169
  25u, 15, unique_books: 167
  50u, 15, unique_books: 156
  100u, 15, unique_books: 149
  200u, 15, unique_books: 147
  300u, 15, unique_books: 168
  500u, 15, unique_books: 162
  1000u, 15, unique_books: 159
  2u, 25, unique_books: 229
  4u, 25, unique_books: 243
  6u, 25, unique_books: 222
  25u, 25, unique_books: 221
  50u, 25, unique_books: 203
  100u, 25, unique_books: 206
  200u, 25, unique_books: 206
  300u, 25, unique_books: 232
  500u, 25, unique_books: 237
  1000u, 25, unique_books: 204
  2u, 35, unique_books: 279
  4u, 35, unique_books: 287
  6u, 35, unique_books: 266
  25u, 35, unique_books: 273
  50u, 35, unique_books: 246
  100u, 35, unique_books: 268
  200u, 35, unique_books: 242
  300u, 35, unique_books: 275
  500u, 35, unique_books: 280
  1000u, 35, unique_books: 249

G2 contains only (any book containing G2):
  original 15: unique_books: 249
  original 25: unique_books: 317
  original 35: unique_books: 375
  2u, 15, unique_books: 239
  4u, 15, unique_books: 252
  6u, 15, unique_books: 233
  25u, 15, unique_books: 212
  50u, 15, unique_books: 196
  100u, 15, unique_books: 204
  200u, 15, unique_books: 208
  300u, 15, unique_books: 215
  500u, 15, unique_books: 217
  1000u, 15, unique_books: 207
  2u, 25, unique_books: 305
  4u, 25, unique_books: 321
  6u, 25, unique_books: 307
  25u, 25, unique_books: 290
  50u, 25, unique_books: 270
  100u, 25, unique_books: 289
  200u, 25, unique_books: 292
  300u, 25, unique_books: 293
  500u, 25, unique_books: 290
  1000u, 25, unique_books: 278
  2u, 35, unique_books: 375
  4u, 35, unique_books: 377
  6u, 35, unique_books: 360
  25u, 35, unique_books: 347
  50u, 35, unique_books: 327
  100u, 35, unique_books: 352
  200u, 35, unique_books: 351
  300u, 35, unique_books: 354
  500u, 35, unique_books: 344
  1000u, 35, unique_books: 329
