Horror + Science Fiction:

pair_both (AND):
  original 15: unique_books: 8
  original 25: unique_books: 11
  original 35: unique_books: 13
  2u, 15, unique_books: 4
  6u, 15, unique_books: 7
  200u, 15, unique_books: 9
  2u, 25, unique_books: 9
  6u, 25, unique_books: 12
  200u, 25, unique_books: 13
  2u, 35, unique_books: 9
  6u, 35, unique_books: 16
  200u, 35, unique_books: 16

pair_or (OR):
  original 15: unique_books: 309
  original 25: unique_books: 431
  original 35: unique_books: 515
  2u, 15, unique_books: 302
  6u, 15, unique_books: 335
  200u, 15, unique_books: 465
  2u, 25, unique_books: 430
  6u, 25, unique_books: 445
  200u, 25, unique_books: 634
  2u, 35, unique_books: 524
  6u, 35, unique_books: 538
  200u, 35, unique_books: 743

single G1:
  original 15: unique_books: 170
  original 25: unique_books: 238
  original 35: unique_books: 281
  2u, 15, unique_books: 176
  6u, 15, unique_books: 188
  200u, 15, unique_books: 248
  2u, 25, unique_books: 241
  6u, 25, unique_books: 241
  200u, 25, unique_books: 333
  2u, 35, unique_books: 287
  6u, 35, unique_books: 288
  200u, 35, unique_books: 391

single G2:
  original 15: unique_books: 147
  original 25: unique_books: 204
  original 35: unique_books: 247
  2u, 15, unique_books: 130
  6u, 15, unique_books: 154
  200u, 15, unique_books: 226
  2u, 25, unique_books: 198
  6u, 25, unique_books: 216
  200u, 25, unique_books: 314
  2u, 35, unique_books: 246
  6u, 35, unique_books: 266
  200u, 35, unique_books: 368
