nohup: ignoring input
[23:08:06] === SVD (poison-only) — NO post-fit nudge ===
[23:08:11] Original users: 53,424
[23:08:11] Training baseline SVD on ORIGINAL...
[23:14:43] Scored 1,000/53,424 users for ORIGINAL...
[23:14:45] Scored 2,000/53,424 users for ORIGINAL...
[23:14:47] Scored 3,000/53,424 users for ORIGINAL...
[23:14:49] Scored 4,000/53,424 users for ORIGINAL...
[23:14:52] Scored 5,000/53,424 users for ORIGINAL...
[23:14:54] Scored 6,000/53,424 users for ORIGINAL...
[23:14:56] Scored 7,000/53,424 users for ORIGINAL...
[23:14:58] Scored 8,000/53,424 users for ORIGINAL...
[23:15:00] Scored 9,000/53,424 users for ORIGINAL...
[23:15:03] Scored 10,000/53,424 users for ORIGINAL...
[23:15:05] Scored 11,000/53,424 users for ORIGINAL...
[23:15:07] Scored 12,000/53,424 users for ORIGINAL...
[23:15:09] Scored 13,000/53,424 users for ORIGINAL...
[23:15:11] Scored 14,000/53,424 users for ORIGINAL...
[23:15:14] Scored 15,000/53,424 users for ORIGINAL...
[23:15:16] Scored 16,000/53,424 users for ORIGINAL...
[23:15:18] Scored 17,000/53,424 users for ORIGINAL...
[23:15:20] Scored 18,000/53,424 users for ORIGINAL...
[23:15:23] Scored 19,000/53,424 users for ORIGINAL...
[23:15:25] Scored 20,000/53,424 users for ORIGINAL...
[23:15:27] Scored 21,000/53,424 users for ORIGINAL...
[23:15:29] Scored 22,000/53,424 users for ORIGINAL...
[23:15:32] Scored 23,000/53,424 users for ORIGINAL...
[23:15:34] Scored 24,000/53,424 users for ORIGINAL...
[23:15:36] Scored 25,000/53,424 users for ORIGINAL...
[23:15:38] Scored 26,000/53,424 users for ORIGINAL...
[23:15:41] Scored 27,000/53,424 users for ORIGINAL...
[23:15:43] Scored 28,000/53,424 users for ORIGINAL...
[23:15:45] Scored 29,000/53,424 users for ORIGINAL...
[23:15:47] Scored 30,000/53,424 users for ORIGINAL...
[23:15:50] Scored 31,000/53,424 users for ORIGINAL...
[23:15:52] Scored 32,000/53,424 users for ORIGINAL...
[23:15:54] Scored 33,000/53,424 users for ORIGINAL...
[23:15:56] Scored 34,000/53,424 users for ORIGINAL...
[23:15:59] Scored 35,000/53,424 users for ORIGINAL...
[23:16:01] Scored 36,000/53,424 users for ORIGINAL...
[23:16:03] Scored 37,000/53,424 users for ORIGINAL...
[23:16:05] Scored 38,000/53,424 users for ORIGINAL...
[23:16:08] Scored 39,000/53,424 users for ORIGINAL...
[23:16:10] Scored 40,000/53,424 users for ORIGINAL...
[23:16:12] Scored 41,000/53,424 users for ORIGINAL...
[23:16:14] Scored 42,000/53,424 users for ORIGINAL...
[23:16:17] Scored 43,000/53,424 users for ORIGINAL...
[23:16:19] Scored 44,000/53,424 users for ORIGINAL...
[23:16:21] Scored 45,000/53,424 users for ORIGINAL...
[23:16:23] Scored 46,000/53,424 users for ORIGINAL...
[23:16:26] Scored 47,000/53,424 users for ORIGINAL...
[23:16:28] Scored 48,000/53,424 users for ORIGINAL...
[23:16:30] Scored 49,000/53,424 users for ORIGINAL...
[23:16:32] Scored 50,000/53,424 users for ORIGINAL...
[23:16:34] Scored 51,000/53,424 users for ORIGINAL...
[23:16:37] Scored 52,000/53,424 users for ORIGINAL...
[23:16:39] Scored 53,000/53,424 users for ORIGINAL...
[23:16:43] Saved → /home/moshtasa/Research/phd-svd-recsys/SVD/Book/result/rec/top_re/0902/SVD/ORIGINAL_15recommendation.csv (801360 rows)
[23:16:47] Saved → /home/moshtasa/Research/phd-svd-recsys/SVD/Book/result/rec/top_re/0902/SVD/ORIGINAL_25recommendation.csv (1335600 rows)
[23:16:53] Saved → /home/moshtasa/Research/phd-svd-recsys/SVD/Book/result/rec/top_re/0902/SVD/ORIGINAL_35recommendation.csv (1869840 rows)
[23:16:57] [1/27] enhanced_Adult_25_pos5_neg0_sample — loading & training...
[23:23:32] Scored 1,000/53,424 users for enhanced_Adult_25_pos5_neg0_sample...
[23:23:34] Scored 2,000/53,424 users for enhanced_Adult_25_pos5_neg0_sample...
[23:23:37] Scored 3,000/53,424 users for enhanced_Adult_25_pos5_neg0_sample...
[23:23:39] Scored 4,000/53,424 users for enhanced_Adult_25_pos5_neg0_sample...
[23:23:41] Scored 5,000/53,424 users for enhanced_Adult_25_pos5_neg0_sample...
[23:23:43] Scored 6,000/53,424 users for enhanced_Adult_25_pos5_neg0_sample...
[23:23:45] Scored 7,000/53,424 users for enhanced_Adult_25_pos5_neg0_sample...
[23:23:48] Scored 8,000/53,424 users for enhanced_Adult_25_pos5_neg0_sample...
