primary_ Adult | K=15 | ORIGINAL: total=31210, users=53424, mean_per_user=0.5842
primary_ Adult | K=15 | 25: total=30900, users=53424, mean_per_user=0.5784
primary_ Adult | K=15 | 50: total=28601, users=53424, mean_per_user=0.5354
primary_ Adult | K=15 | 100: total=26336, users=53424, mean_per_user=0.4930
primary_ Adult | K=15 | 200: total=22817, users=53424, mean_per_user=0.4271
primary_ Adult | K=25 | ORIGINAL: total=50434, users=53424, mean_per_user=0.9440
primary_ Adult | K=25 | 25: total=49709, users=53424, mean_per_user=0.9305
primary_ Adult | K=25 | 50: total=46729, users=53424, mean_per_user=0.8747
primary_ Adult | K=25 | 100: total=42867, users=53424, mean_per_user=0.8024
primary_ Adult | K=25 | 200: total=37841, users=53424, mean_per_user=0.7083
primary_ Adult | K=35 | ORIGINAL: total=69144, users=53424, mean_per_user=1.2942
primary_ Adult | K=35 | 25: total=68175, users=53424, mean_per_user=1.2761
primary_ Adult | K=35 | 50: total=64334, users=53424, mean_per_user=1.2042
primary_ Adult | K=35 | 100: total=59187, users=53424, mean_per_user=1.1079
primary_ Adult | K=35 | 200: total=52711, users=53424, mean_per_user=0.9867
primary_ Adventure | K=15 | ORIGINAL: total=141308, users=53424, mean_per_user=2.6450
primary_ Adventure | K=15 | 25: total=143450, users=53424, mean_per_user=2.6851
primary_ Adventure | K=15 | 50: total=137512, users=53424, mean_per_user=2.5740
primary_ Adventure | K=15 | 100: total=131050, users=53424, mean_per_user=2.4530
primary_ Adventure | K=15 | 200: total=128076, users=53424, mean_per_user=2.3973
primary_ Adventure | K=25 | ORIGINAL: total=238532, users=53424, mean_per_user=4.4649
primary_ Adventure | K=25 | 25: total=241728, users=53424, mean_per_user=4.5247
primary_ Adventure | K=25 | 50: total=233264, users=53424, mean_per_user=4.3663
primary_ Adventure | K=25 | 100: total=223459, users=53424, mean_per_user=4.1827
primary_ Adventure | K=25 | 200: total=218237, users=53424, mean_per_user=4.0850
primary_ Adventure | K=35 | ORIGINAL: total=337286, users=53424, mean_per_user=6.3134
primary_ Adventure | K=35 | 25: total=340942, users=53424, mean_per_user=6.3818
primary_ Adventure | K=35 | 50: total=329586, users=53424, mean_per_user=6.1692
primary_ Adventure | K=35 | 100: total=317425, users=53424, mean_per_user=5.9416
primary_ Adventure | K=35 | 200: total=310387, users=53424, mean_per_user=5.8099
primary_ Children's | K=15 | ORIGINAL: total=74994, users=53424, mean_per_user=1.4038
