Genre,n,K,avg_count,avg_estimation_rating,avg_original_rating
Mystery,ORIGINAL,15,3.801999,5.787566,3.963162
Mystery,25,15,3.781559,5.736930,4.003674
Mystery,50,15,3.672151,5.649021,3.999819
Mystery,100,15,4.231862,5.733070,4.037420
Mystery,200,15,3.271301,5.591782,4.021365
Mystery,ORIGINAL,25,6.115042,5.662547,4.000037
Mystery,25,25,6.460692,5.605332,4.036043
Mystery,50,25,6.422937,5.545474,4.031678
Mystery,100,25,6.913223,5.613701,4.058647
Mystery,200,25,5.627920,5.490623,4.051216
Mystery,ORIGINAL,35,8.361411,5.577676,4.022229
Mystery,25,35,9.171777,5.517789,4.054779
Mystery,50,35,9.138065,5.474923,4.049975
Mystery,100,35,9.574049,5.532482,4.072528
Mystery,200,35,8.028283,5.420424,4.068919
