Genre,n,K,avg_count,avg_estimation_rating,avg_original_rating
Nonfiction,ORIGINAL,15,2.215259,5.829467,3.971948
Nonfiction,25,15,2.158674,5.748097,3.995957
Nonfiction,50,15,2.109558,5.747234,3.985665
Nonfiction,100,15,2.282776,5.702763,4.044644
Nonfiction,200,15,1.962058,5.647273,4.036801
Nonfiction,ORIGINAL,25,3.462302,5.696974,3.998229
Nonfiction,25,25,3.531652,5.625898,4.021131
Nonfiction,50,25,3.456237,5.635772,4.005712
Nonfiction,100,25,3.874195,5.597244,4.057235
Nonfiction,200,25,3.307016,5.550889,4.050666
Nonfiction,ORIGINAL,35,4.705900,5.607680,4.015387
Nonfiction,25,35,4.957678,5.540810,4.037373
Nonfiction,50,35,4.864780,5.555154,4.019860
Nonfiction,100,35,5.519429,5.521831,4.066791
Nonfiction,200,35,4.734614,5.480313,4.059649
