Genre,n,K,avg_count,avg_estimation_rating,avg_original_rating
Adventure,ORIGINAL,15,2.866539,5.780333,4.065271
Adventure,25,15,2.817086,5.637755,4.114967
Adventure,50,15,2.263664,5.642624,4.078267
Adventure,100,15,2.921178,5.689434,4.034927
Adventure,200,15,2.541611,5.675314,4.067932
Adventure,ORIGINAL,25,4.896320,5.646661,4.079360
Adventure,25,25,4.986729,5.547799,4.122302
Adventure,50,25,4.211515,5.548359,4.093547
Adventure,100,25,5.149128,5.583756,4.052731
Adventure,200,25,4.574629,5.566817,4.082659
Adventure,ORIGINAL,35,6.986429,5.554832,4.090627
Adventure,25,35,7.234052,5.481889,4.125056
Adventure,50,35,6.253687,5.480158,4.101577
Adventure,100,35,7.373821,5.512033,4.064463
Adventure,200,35,6.683307,5.491829,4.091483
