Genre,n,K,avg_count,avg_estimation_rating,avg_original_rating
Fantasy,ORIGINAL,15,3.204066,5.773889,4.076939
Fantasy,25,15,4.008030,5.628095,4.125580
Fantasy,50,15,3.868392,5.610268,4.097908
Fantasy,100,15,4.219265,5.639372,4.099755
Fantasy,200,15,4.316936,5.601320,4.112116
Fantasy,ORIGINAL,25,5.646638,5.633161,4.095577
Fantasy,25,25,7.034816,5.520147,4.132620
Fantasy,50,25,6.893138,5.506561,4.112576
Fantasy,100,25,7.313997,5.531283,4.115369
Fantasy,200,25,7.422788,5.491135,4.125147
Fantasy,ORIGINAL,35,8.148473,5.544412,4.108960
Fantasy,25,35,10.096998,5.447851,4.137186
Fantasy,50,35,9.963462,5.435040,4.120945
Fantasy,100,35,10.438773,5.457795,4.124317
Fantasy,200,35,10.551531,5.416465,4.133135
