Adult + Historical:
pair_both (contains both genres):
  original 15: unique_books: 0
  original 25: unique_books: 0
  original 35: unique_books: 1
  2u, 15, unique_books: 3
  4u, 15, unique_books: 5
  6u, 15, unique_books: 5
  25u, 15, unique_books: 5
  50u, 15, unique_books: 5
  100u, 15, unique_books: 5
  200u, 15, unique_books: 5
  300u, 15, unique_books: 5
  500u, 15, unique_books: 5
  1000u, 15, unique_books: 5
  2u, 25, unique_books: 3
  4u, 25, unique_books: 5
  6u, 25, unique_books: 5
  25u, 25, unique_books: 5
  50u, 25, unique_books: 5
  100u, 25, unique_books: 5
  200u, 25, unique_books: 5
  300u, 25, unique_books: 5
  500u, 25, unique_books: 5
  1000u, 25, unique_books: 5
  2u, 35, unique_books: 4
  4u, 35, unique_books: 5
  6u, 35, unique_books: 5
  25u, 35, unique_books: 5
  50u, 35, unique_books: 5
  100u, 35, unique_books: 5
  200u, 35, unique_books: 5
  300u, 35, unique_books: 5
  500u, 35, unique_books: 5
  1000u, 35, unique_books: 5

G1 contains only (any book containing G1):
  original 15: unique_books: 86
  original 25: unique_books: 110
  original 35: unique_books: 129
  2u, 15, unique_books: 88
  4u, 15, unique_books: 100
  6u, 15, unique_books: 92
  25u, 15, unique_books: 93
  50u, 15, unique_books: 80
  100u, 15, unique_books: 77
  200u, 15, unique_books: 71
  300u, 15, unique_books: 79
  500u, 15, unique_books: 77
  1000u, 15, unique_books: 62
  2u, 25, unique_books: 115
  4u, 25, unique_books: 120
  6u, 25, unique_books: 120
  25u, 25, unique_books: 118
  50u, 25, unique_books: 101
  100u, 25, unique_books: 103
  200u, 25, unique_books: 97
  300u, 25, unique_books: 97
  500u, 25, unique_books: 96
  1000u, 25, unique_books: 89
  2u, 35, unique_books: 132
  4u, 35, unique_books: 144
  6u, 35, unique_books: 140
  25u, 35, unique_books: 135
  50u, 35, unique_books: 126
  100u, 35, unique_books: 123
  200u, 35, unique_books: 117
  300u, 35, unique_books: 121
  500u, 35, unique_books: 112
  1000u, 35, unique_books: 104

G2 contains only (any book containing G2):
  original 15: unique_books: 151
  original 25: unique_books: 218
  original 35: unique_books: 284
  2u, 15, unique_books: 161
  4u, 15, unique_books: 174
  6u, 15, unique_books: 152
  25u, 15, unique_books: 140
  50u, 15, unique_books: 134
  100u, 15, unique_books: 136
  200u, 15, unique_books: 153
  300u, 15, unique_books: 151
  500u, 15, unique_books: 170
  1000u, 15, unique_books: 154
  2u, 25, unique_books: 231
  4u, 25, unique_books: 238
  6u, 25, unique_books: 203
  25u, 25, unique_books: 201
  50u, 25, unique_books: 191
  100u, 25, unique_books: 194
  200u, 25, unique_books: 205
  300u, 25, unique_books: 217
  500u, 25, unique_books: 238
  1000u, 25, unique_books: 212
  2u, 35, unique_books: 280
  4u, 35, unique_books: 288
  6u, 35, unique_books: 257
  25u, 35, unique_books: 248
  50u, 35, unique_books: 232
  100u, 35, unique_books: 241
  200u, 35, unique_books: 253
  300u, 35, unique_books: 258
  500u, 35, unique_books: 279
  1000u, 35, unique_books: 270
