Drama + Fantasy:
pair_both (contains both genres):
  original 15: unique_books: 30
  original 25: unique_books: 35
  original 35: unique_books: 36
  2u, 15, unique_books: 46
  4u, 15, unique_books: 71
  6u, 15, unique_books: 80
  25u, 15, unique_books: 91
  50u, 15, unique_books: 92
  100u, 15, unique_books: 96
  200u, 15, unique_books: 99
  300u, 15, unique_books: 99
  500u, 15, unique_books: 92
  1000u, 15, unique_books: 94
  2u, 25, unique_books: 55
  4u, 25, unique_books: 81
  6u, 25, unique_books: 91
  25u, 25, unique_books: 96
  50u, 25, unique_books: 96
  100u, 25, unique_books: 99
  200u, 25, unique_books: 99
  300u, 25, unique_books: 99
  500u, 25, unique_books: 96
  1000u, 25, unique_books: 96
  2u, 35, unique_books: 60
  4u, 35, unique_books: 85
  6u, 35, unique_books: 94
  25u, 35, unique_books: 99
  50u, 35, unique_books: 99
  100u, 35, unique_books: 99
  200u, 35, unique_books: 99
  300u, 35, unique_books: 99
  500u, 35, unique_books: 99
  1000u, 35, unique_books: 98

G1 contains only (any book containing G1):
  original 15: unique_books: 592
  original 25: unique_books: 790
  original 35: unique_books: 970
  2u, 15, unique_books: 617
  4u, 15, unique_books: 644
  6u, 15, unique_books: 550
  25u, 15, unique_books: 476
  50u, 15, unique_books: 464
  100u, 15, unique_books: 475
  200u, 15, unique_books: 505
  300u, 15, unique_books: 511
  500u, 15, unique_books: 577
  1000u, 15, unique_books: 592
  2u, 25, unique_books: 801
  4u, 25, unique_books: 858
  6u, 25, unique_books: 755
  25u, 25, unique_books: 658
  50u, 25, unique_books: 614
  100u, 25, unique_books: 601
  200u, 25, unique_books: 651
  300u, 25, unique_books: 669
  500u, 25, unique_books: 766
  1000u, 25, unique_books: 777
  2u, 35, unique_books: 972
  4u, 35, unique_books: 1020
  6u, 35, unique_books: 893
  25u, 35, unique_books: 811
  50u, 35, unique_books: 762
  100u, 35, unique_books: 713
  200u, 35, unique_books: 779
  300u, 35, unique_books: 795
  500u, 35, unique_books: 919
  1000u, 35, unique_books: 948

G2 contains only (any book containing G2):
  original 15: unique_books: 504
  original 25: unique_books: 676
  original 35: unique_books: 809
  2u, 15, unique_books: 505
  4u, 15, unique_books: 565
  6u, 15, unique_books: 490
  25u, 15, unique_books: 422
  50u, 15, unique_books: 400
  100u, 15, unique_books: 433
  200u, 15, unique_books: 456
  300u, 15, unique_books: 459
  500u, 15, unique_books: 484
  1000u, 15, unique_books: 523
  2u, 25, unique_books: 689
  4u, 25, unique_books: 728
  6u, 25, unique_books: 659
  25u, 25, unique_books: 557
  50u, 25, unique_books: 526
  100u, 25, unique_books: 548
  200u, 25, unique_books: 570
  300u, 25, unique_books: 573
  500u, 25, unique_books: 620
  1000u, 25, unique_books: 657
  2u, 35, unique_books: 812
  4u, 35, unique_books: 848
  6u, 35, unique_books: 788
  25u, 35, unique_books: 677
  50u, 35, unique_books: 645
  100u, 35, unique_books: 653
  200u, 35, unique_books: 681
  300u, 35, unique_books: 708
  500u, 35, unique_books: 729
  1000u, 35, unique_books: 789
