Historical + Horror:
pair_both (contains both genres):
  original 15: unique_books: 1
  original 25: unique_books: 1
  original 35: unique_books: 1
  2u, 15, unique_books: 1
  4u, 15, unique_books: 1
  6u, 15, unique_books: 1
  25u, 15, unique_books: 1
  50u, 15, unique_books: 1
  100u, 15, unique_books: 1
  200u, 15, unique_books: 1
  300u, 15, unique_books: 1
  500u, 15, unique_books: 1
  1000u, 15, unique_books: 1
  2u, 25, unique_books: 1
  4u, 25, unique_books: 1
  6u, 25, unique_books: 1
  25u, 25, unique_books: 1
  50u, 25, unique_books: 1
  100u, 25, unique_books: 1
  200u, 25, unique_books: 1
  300u, 25, unique_books: 1
  500u, 25, unique_books: 1
  1000u, 25, unique_books: 1
  2u, 35, unique_books: 1
  4u, 35, unique_books: 1
  6u, 35, unique_books: 1
  25u, 35, unique_books: 1
  50u, 35, unique_books: 1
  100u, 35, unique_books: 1
  200u, 35, unique_books: 1
  300u, 35, unique_books: 1
  500u, 35, unique_books: 1
  1000u, 35, unique_books: 1

G1 contains only (any book containing G1):
  original 15: unique_books: 151
  original 25: unique_books: 218
  original 35: unique_books: 284
  2u, 15, unique_books: 158
  4u, 15, unique_books: 169
  6u, 15, unique_books: 148
  25u, 15, unique_books: 149
  50u, 15, unique_books: 144
  100u, 15, unique_books: 148
  200u, 15, unique_books: 161
  300u, 15, unique_books: 167
  500u, 15, unique_books: 178
  1000u, 15, unique_books: 159
  2u, 25, unique_books: 225
  4u, 25, unique_books: 234
  6u, 25, unique_books: 208
  25u, 25, unique_books: 206
  50u, 25, unique_books: 191
  100u, 25, unique_books: 197
  200u, 25, unique_books: 216
  300u, 25, unique_books: 222
  500u, 25, unique_books: 250
  1000u, 25, unique_books: 217
  2u, 35, unique_books: 278
  4u, 35, unique_books: 283
  6u, 35, unique_books: 256
  25u, 35, unique_books: 263
  50u, 35, unique_books: 240
  100u, 35, unique_books: 243
  200u, 35, unique_books: 258
  300u, 35, unique_books: 266
  500u, 35, unique_books: 290
  1000u, 35, unique_books: 271

G2 contains only (any book containing G2):
  original 15: unique_books: 170
  original 25: unique_books: 238
  original 35: unique_books: 281
  2u, 15, unique_books: 173
  4u, 15, unique_books: 181
  6u, 15, unique_books: 170
  25u, 15, unique_books: 170
  50u, 15, unique_books: 164
  100u, 15, unique_books: 160
  200u, 15, unique_books: 155
  300u, 15, unique_books: 178
  500u, 15, unique_books: 170
  1000u, 15, unique_books: 155
  2u, 25, unique_books: 230
  4u, 25, unique_books: 243
  6u, 25, unique_books: 223
  25u, 25, unique_books: 223
  50u, 25, unique_books: 213
  100u, 25, unique_books: 211
  200u, 25, unique_books: 210
  300u, 25, unique_books: 241
  500u, 25, unique_books: 241
  1000u, 25, unique_books: 215
  2u, 35, unique_books: 276
  4u, 35, unique_books: 284
  6u, 35, unique_books: 263
  25u, 35, unique_books: 278
  50u, 35, unique_books: 244
  100u, 35, unique_books: 268
  200u, 35, unique_books: 252
  300u, 35, unique_books: 281
  500u, 35, unique_books: 290
  1000u, 35, unique_books: 253
