Horror + Mystery:
pair_both (contains both genres):
  original 15: unique_books: 47
  original 25: unique_books: 71
  original 35: unique_books: 80
  2u, 15, unique_books: 59
  4u, 15, unique_books: 102
  6u, 15, unique_books: 110
  25u, 15, unique_books: 152
  50u, 15, unique_books: 174
  100u, 15, unique_books: 173
  200u, 15, unique_books: 161
  300u, 15, unique_books: 145
  500u, 15, unique_books: 142
  1000u, 15, unique_books: 139
  2u, 25, unique_books: 84
  4u, 25, unique_books: 121
  6u, 25, unique_books: 131
  25u, 25, unique_books: 177
  50u, 25, unique_books: 197
  100u, 25, unique_books: 211
  200u, 25, unique_books: 194
  300u, 25, unique_books: 178
  500u, 25, unique_books: 165
  1000u, 25, unique_books: 181
  2u, 35, unique_books: 97
  4u, 35, unique_books: 136
  6u, 35, unique_books: 149
  25u, 35, unique_books: 191
  50u, 35, unique_books: 213
  100u, 35, unique_books: 222
  200u, 35, unique_books: 206
  300u, 35, unique_books: 193
  500u, 35, unique_books: 190
  1000u, 35, unique_books: 201

G1 contains only (any book containing G1):
  original 15: unique_books: 170
  original 25: unique_books: 238
  original 35: unique_books: 281
  2u, 15, unique_books: 182
  4u, 15, unique_books: 229
  6u, 15, unique_books: 226
  25u, 15, unique_books: 245
  50u, 15, unique_books: 267
  100u, 15, unique_books: 275
  200u, 15, unique_books: 267
  300u, 15, unique_books: 254
  500u, 15, unique_books: 250
  1000u, 15, unique_books: 242
  2u, 25, unique_books: 244
  4u, 25, unique_books: 294
  6u, 25, unique_books: 279
  25u, 25, unique_books: 310
  50u, 25, unique_books: 326
  100u, 25, unique_books: 342
  200u, 25, unique_books: 340
  300u, 25, unique_books: 324
  500u, 25, unique_books: 314
  1000u, 25, unique_books: 317
  2u, 35, unique_books: 296
  4u, 35, unique_books: 329
  6u, 35, unique_books: 322
  25u, 35, unique_books: 348
  50u, 35, unique_books: 357
  100u, 35, unique_books: 383
  200u, 35, unique_books: 376
  300u, 35, unique_books: 361
  500u, 35, unique_books: 375
  1000u, 35, unique_books: 368

G2 contains only (any book containing G2):
  original 15: unique_books: 438
  original 25: unique_books: 606
  original 35: unique_books: 732
  2u, 15, unique_books: 446
  4u, 15, unique_books: 540
  6u, 15, unique_books: 469
  25u, 15, unique_books: 464
  50u, 15, unique_books: 478
  100u, 15, unique_books: 509
  200u, 15, unique_books: 511
  300u, 15, unique_books: 470
  500u, 15, unique_books: 460
  1000u, 15, unique_books: 498
  2u, 25, unique_books: 609
  4u, 25, unique_books: 695
  6u, 25, unique_books: 630
  25u, 25, unique_books: 596
  50u, 25, unique_books: 597
  100u, 25, unique_books: 652
  200u, 25, unique_books: 647
  300u, 25, unique_books: 619
  500u, 25, unique_books: 626
  1000u, 25, unique_books: 660
  2u, 35, unique_books: 727
  4u, 35, unique_books: 818
  6u, 35, unique_books: 748
  25u, 35, unique_books: 696
  50u, 35, unique_books: 709
  100u, 35, unique_books: 746
  200u, 35, unique_books: 765
  300u, 35, unique_books: 733
  500u, 35, unique_books: 746
  1000u, 35, unique_books: 783
