Horror + Thriller:
pair_both (contains both genres):
  original 15: unique_books: 17
  original 25: unique_books: 25
  original 35: unique_books: 28
  2u, 15, unique_books: 32
  4u, 15, unique_books: 45
  6u, 15, unique_books: 70
  25u, 15, unique_books: 110
  50u, 15, unique_books: 99
  100u, 15, unique_books: 113
  200u, 15, unique_books: 117
  300u, 15, unique_books: 99
  500u, 15, unique_books: 96
  1000u, 15, unique_books: 105
  2u, 25, unique_books: 37
  4u, 25, unique_books: 59
  6u, 25, unique_books: 91
  25u, 25, unique_books: 119
  50u, 25, unique_books: 111
  100u, 25, unique_books: 122
  200u, 25, unique_books: 122
  300u, 25, unique_books: 111
  500u, 25, unique_books: 114
  1000u, 25, unique_books: 116
  2u, 35, unique_books: 42
  4u, 35, unique_books: 80
  6u, 35, unique_books: 103
  25u, 35, unique_books: 121
  50u, 35, unique_books: 117
  100u, 35, unique_books: 123
  200u, 35, unique_books: 123
  300u, 35, unique_books: 119
  500u, 35, unique_books: 118
  1000u, 35, unique_books: 121

G1 contains only (any book containing G1):
  original 15: unique_books: 170
  original 25: unique_books: 238
  original 35: unique_books: 281
  2u, 15, unique_books: 185
  4u, 15, unique_books: 211
  6u, 15, unique_books: 216
  25u, 15, unique_books: 227
  50u, 15, unique_books: 211
  100u, 15, unique_books: 223
  200u, 15, unique_books: 239
  300u, 15, unique_books: 238
  500u, 15, unique_books: 224
  1000u, 15, unique_books: 233
  2u, 25, unique_books: 244
  4u, 25, unique_books: 276
  6u, 25, unique_books: 279
  25u, 25, unique_books: 278
  50u, 25, unique_books: 254
  100u, 25, unique_books: 274
  200u, 25, unique_books: 293
  300u, 25, unique_books: 296
  500u, 25, unique_books: 307
  1000u, 25, unique_books: 293
  2u, 35, unique_books: 292
  4u, 35, unique_books: 329
  6u, 35, unique_books: 325
  25u, 35, unique_books: 308
  50u, 35, unique_books: 289
  100u, 35, unique_books: 304
  200u, 35, unique_books: 316
  300u, 35, unique_books: 325
  500u, 35, unique_books: 346
  1000u, 35, unique_books: 334

G2 contains only (any book containing G2):
  original 15: unique_books: 254
  original 25: unique_books: 346
  original 35: unique_books: 418
  2u, 15, unique_books: 256
  4u, 15, unique_books: 304
  6u, 15, unique_books: 280
  25u, 15, unique_books: 287
  50u, 15, unique_books: 261
  100u, 15, unique_books: 292
  200u, 15, unique_books: 315
  300u, 15, unique_books: 293
  500u, 15, unique_books: 284
  1000u, 15, unique_books: 318
  2u, 25, unique_books: 343
  4u, 25, unique_books: 400
  6u, 25, unique_books: 382
  25u, 25, unique_books: 371
  50u, 25, unique_books: 328
  100u, 25, unique_books: 373
  200u, 25, unique_books: 391
  300u, 25, unique_books: 370
  500u, 25, unique_books: 389
  1000u, 25, unique_books: 404
  2u, 35, unique_books: 414
  4u, 35, unique_books: 478
  6u, 35, unique_books: 453
  25u, 35, unique_books: 433
  50u, 35, unique_books: 393
  100u, 35, unique_books: 430
  200u, 35, unique_books: 444
  300u, 35, unique_books: 436
  500u, 35, unique_books: 466
  1000u, 35, unique_books: 472
