Historical + Science Fiction:

pair_both (AND):
  original 15: unique_books: 2
  original 25: unique_books: 2
  original 35: unique_books: 2
  2u, 15, unique_books: 3
  6u, 15, unique_books: 2
  200u, 15, unique_books: 4
  2u, 25, unique_books: 3
  6u, 25, unique_books: 2
  200u, 25, unique_books: 4
  2u, 35, unique_books: 4
  6u, 35, unique_books: 4
  200u, 35, unique_books: 4

pair_or (OR):
  original 15: unique_books: 296
  original 25: unique_books: 420
  original 35: unique_books: 529
  2u, 15, unique_books: 314
  6u, 15, unique_books: 312
  200u, 15, unique_books: 437
  2u, 25, unique_books: 438
  6u, 25, unique_books: 445
  200u, 25, unique_books: 605
  2u, 35, unique_books: 533
  6u, 35, unique_books: 544
  200u, 35, unique_books: 756

single G1:
  original 15: unique_books: 151
  original 25: unique_books: 218
  original 35: unique_books: 284
  2u, 15, unique_books: 179
  6u, 15, unique_books: 158
  200u, 15, unique_books: 242
  2u, 25, unique_books: 240
  6u, 25, unique_books: 228
  200u, 25, unique_books: 323
  2u, 35, unique_books: 290
  6u, 35, unique_books: 275
  200u, 35, unique_books: 400

single G2:
  original 15: unique_books: 147
  original 25: unique_books: 204
  original 35: unique_books: 247
  2u, 15, unique_books: 138
  6u, 15, unique_books: 156
  200u, 15, unique_books: 199
  2u, 25, unique_books: 201
  6u, 25, unique_books: 219
  200u, 25, unique_books: 286
  2u, 35, unique_books: 247
  6u, 35, unique_books: 273
  200u, 35, unique_books: 360
