Classics + Horror:
pair_both (contains both genres):
  original 15: unique_books: 3
  original 25: unique_books: 6
  original 35: unique_books: 8
  2u, 15, unique_books: 9
  4u, 15, unique_books: 17
  6u, 15, unique_books: 20
  25u, 15, unique_books: 21
  50u, 15, unique_books: 21
  100u, 15, unique_books: 21
  200u, 15, unique_books: 21
  300u, 15, unique_books: 21
  500u, 15, unique_books: 21
  1000u, 15, unique_books: 21
  2u, 25, unique_books: 12
  4u, 25, unique_books: 20
  6u, 25, unique_books: 21
  25u, 25, unique_books: 21
  50u, 25, unique_books: 21
  100u, 25, unique_books: 21
  200u, 25, unique_books: 21
  300u, 25, unique_books: 21
  500u, 25, unique_books: 21
  1000u, 25, unique_books: 21
  2u, 35, unique_books: 15
  4u, 35, unique_books: 20
  6u, 35, unique_books: 21
  25u, 35, unique_books: 21
  50u, 35, unique_books: 21
  100u, 35, unique_books: 21
  200u, 35, unique_books: 21
  300u, 35, unique_books: 21
  500u, 35, unique_books: 21
  1000u, 35, unique_books: 21

G1 contains only (any book containing G1):
  original 15: unique_books: 167
  original 25: unique_books: 234
  original 35: unique_books: 305
  2u, 15, unique_books: 179
  4u, 15, unique_books: 183
  6u, 15, unique_books: 152
  25u, 15, unique_books: 126
  50u, 15, unique_books: 127
  100u, 15, unique_books: 123
  200u, 15, unique_books: 135
  300u, 15, unique_books: 138
  500u, 15, unique_books: 162
  1000u, 15, unique_books: 181
  2u, 25, unique_books: 249
  4u, 25, unique_books: 265
  6u, 25, unique_books: 228
  25u, 25, unique_books: 189
  50u, 25, unique_books: 191
  100u, 25, unique_books: 193
  200u, 25, unique_books: 209
  300u, 25, unique_books: 204
  500u, 25, unique_books: 239
  1000u, 25, unique_books: 246
  2u, 35, unique_books: 323
  4u, 35, unique_books: 326
  6u, 35, unique_books: 285
  25u, 35, unique_books: 240
  50u, 35, unique_books: 244
  100u, 35, unique_books: 249
  200u, 35, unique_books: 263
  300u, 35, unique_books: 273
  500u, 35, unique_books: 302
  1000u, 35, unique_books: 302

G2 contains only (any book containing G2):
  original 15: unique_books: 170
  original 25: unique_books: 238
  original 35: unique_books: 281
  2u, 15, unique_books: 180
  4u, 15, unique_books: 194
  6u, 15, unique_books: 179
  25u, 15, unique_books: 163
  50u, 15, unique_books: 137
  100u, 15, unique_books: 142
  200u, 15, unique_books: 139
  300u, 15, unique_books: 160
  500u, 15, unique_books: 168
  1000u, 15, unique_books: 166
  2u, 25, unique_books: 232
  4u, 25, unique_books: 251
  6u, 25, unique_books: 233
  25u, 25, unique_books: 211
  50u, 25, unique_books: 186
  100u, 25, unique_books: 197
  200u, 25, unique_books: 183
  300u, 25, unique_books: 223
  500u, 25, unique_books: 219
  1000u, 25, unique_books: 205
  2u, 35, unique_books: 287
  4u, 35, unique_books: 298
  6u, 35, unique_books: 271
  25u, 35, unique_books: 255
  50u, 35, unique_books: 223
  100u, 35, unique_books: 231
  200u, 35, unique_books: 234
  300u, 35, unique_books: 259
  500u, 35, unique_books: 268
  1000u, 35, unique_books: 251
