Adventure + children s:

pair_both (AND):
  original 15: unique_books: 0
  original 25: unique_books: 0
  original 35: unique_books: 0
  2u, 15, unique_books: 0
  6u, 15, unique_books: 0
  200u, 15, unique_books: 0
  2u, 25, unique_books: 0
  6u, 25, unique_books: 0
  200u, 25, unique_books: 0
  2u, 35, unique_books: 0
  6u, 35, unique_books: 0
  200u, 35, unique_books: 0

pair_or (OR):
  original 15: unique_books: 398
  original 25: unique_books: 549
  original 35: unique_books: 663
  2u, 15, unique_books: 402
  6u, 15, unique_books: 415
  200u, 15, unique_books: 510
  2u, 25, unique_books: 559
  6u, 25, unique_books: 565
  200u, 25, unique_books: 684
  2u, 35, unique_books: 674
  6u, 35, unique_books: 671
  200u, 35, unique_books: 814

single G1:
  original 15: unique_books: 398
  original 25: unique_books: 549
  original 35: unique_books: 663
  2u, 15, unique_books: 402
  6u, 15, unique_books: 415
  200u, 15, unique_books: 510
  2u, 25, unique_books: 559
  6u, 25, unique_books: 565
  200u, 25, unique_books: 684
  2u, 35, unique_books: 674
  6u, 35, unique_books: 671
  200u, 35, unique_books: 814

single G2:
  original 15: unique_books: 0
  original 25: unique_books: 0
  original 35: unique_books: 0
  2u, 15, unique_books: 0
  6u, 15, unique_books: 0
  200u, 15, unique_books: 0
  2u, 25, unique_books: 0
  6u, 25, unique_books: 0
  200u, 25, unique_books: 0
  2u, 35, unique_books: 0
  6u, 35, unique_books: 0
  200u, 35, unique_books: 0
