Drama + Science Fiction:

pair_both (AND):
  original 15: unique_books: 20
  original 25: unique_books: 21
  original 35: unique_books: 25
  2u, 15, unique_books: 17
  6u, 15, unique_books: 21
  200u, 15, unique_books: 21
  2u, 25, unique_books: 22
  6u, 25, unique_books: 25
  200u, 25, unique_books: 22
  2u, 35, unique_books: 25
  6u, 35, unique_books: 27
  200u, 35, unique_books: 27

pair_or (OR):
  original 15: unique_books: 719
  original 25: unique_books: 973
  original 35: unique_books: 1192
  2u, 15, unique_books: 736
  6u, 15, unique_books: 705
  200u, 15, unique_books: 788
  2u, 25, unique_books: 993
  6u, 25, unique_books: 968
  200u, 25, unique_books: 1061
  2u, 35, unique_books: 1193
  6u, 35, unique_books: 1182
  200u, 35, unique_books: 1306

single G1:
  original 15: unique_books: 592
  original 25: unique_books: 790
  original 35: unique_books: 970
  2u, 15, unique_books: 623
  6u, 15, unique_books: 587
  200u, 15, unique_books: 656
  2u, 25, unique_books: 819
  6u, 25, unique_books: 793
  200u, 25, unique_books: 865
  2u, 35, unique_books: 979
  6u, 35, unique_books: 960
  200u, 35, unique_books: 1056

single G2:
  original 15: unique_books: 147
  original 25: unique_books: 204
  original 35: unique_books: 247
  2u, 15, unique_books: 130
  6u, 15, unique_books: 139
  200u, 15, unique_books: 153
  2u, 25, unique_books: 196
  6u, 25, unique_books: 200
  200u, 25, unique_books: 218
  2u, 35, unique_books: 239
  6u, 35, unique_books: 249
  200u, 35, unique_books: 277
