Genre,n,K,avg_count,avg_estimation_rating,avg_original_rating
Adult,ORIGINAL,15,0.601939,5.898149,3.871235
Adult,25,15,0.644242,5.872304,3.895614
Adult,50,15,0.704290,6.016538,3.775432
Adult,100,15,0.780192,5.789154,3.979792
Adult,200,15,0.614780,5.771181,3.938573
Adult,ORIGINAL,25,0.940457,5.748264,3.891511
Adult,25,25,0.982798,5.733838,3.913979
Adult,50,25,1.024502,5.846070,3.814974
Adult,100,25,1.150026,5.695749,3.983774
Adult,200,25,1.002115,5.649952,3.943424
Adult,ORIGINAL,35,1.246986,5.650759,3.903468
Adult,25,35,1.304826,5.640332,3.924412
Adult,50,35,1.324686,5.739695,3.838499
Adult,100,35,1.493168,5.625510,3.984342
Adult,200,35,1.381495,5.567173,3.946695
