Genre,n,K,avg_count,avg_estimation_rating,avg_original_rating
Classics,ORIGINAL,15,0.885501,5.556933,4.179867
Classics,25,15,1.357499,5.609009,4.118290
Classics,50,15,1.220781,5.563888,4.095858
Classics,100,15,1.536987,5.622348,4.201946
Classics,200,15,1.249495,5.558096,4.160373
Classics,ORIGINAL,25,1.603343,5.490984,4.172791
Classics,25,25,2.254661,5.530190,4.122945
Classics,50,25,2.084400,5.497691,4.104607
Classics,100,25,2.493673,5.555318,4.184297
Classics,200,25,2.060684,5.494020,4.151200
Classics,ORIGINAL,35,2.337433,5.442072,4.168140
Classics,25,35,3.169231,5.470845,4.125452
Classics,50,35,2.981450,5.445912,4.111153
Classics,100,35,3.480608,5.498198,4.177147
Classics,200,35,2.889338,5.442515,4.145513
