Genre,n,K,avg_count,avg_estimation_rating,avg_original_rating
Horror,ORIGINAL,15,1.164215,5.842378,3.960124
Horror,25,15,1.511212,5.733571,4.124364
Horror,50,15,1.009808,5.719022,4.091818
Horror,100,15,1.436770,5.715824,4.069336
Horror,200,15,1.405305,5.717368,4.090300
Horror,ORIGINAL,25,1.979148,5.683822,4.011840
Horror,25,25,2.531765,5.628516,4.124643
Horror,50,25,1.839323,5.592627,4.100144
Horror,100,25,2.406409,5.610878,4.083594
Horror,200,25,2.354784,5.601382,4.106713
Horror,ORIGINAL,35,2.777310,5.583369,4.043172
Horror,25,35,3.559318,5.552238,4.126055
Horror,50,35,2.711609,5.513882,4.106277
Horror,100,35,3.396694,5.537654,4.093220
Horror,200,35,3.311882,5.522976,4.115399
