Genre,n,K,avg_count,avg_estimation_rating,avg_original_rating
Romance,ORIGINAL,15,2.398716,5.800197,3.950381
Romance,25,15,4.013196,5.655747,4.097743
Romance,50,15,4.162867,5.639543,4.111592
Romance,100,15,3.806136,5.639199,4.135142
Romance,200,15,3.639245,5.573529,4.159254
Romance,ORIGINAL,25,3.950303,5.651705,3.992872
Romance,25,25,6.591363,5.555682,4.104015
Romance,50,25,6.614443,5.546830,4.111838
Romance,100,25,6.207135,5.546730,4.132379
Romance,200,25,5.875000,5.490851,4.153966
Romance,ORIGINAL,35,5.479728,5.562049,4.015304
Romance,25,35,9.047170,5.485864,4.106153
Romance,50,35,8.982929,5.480195,4.111908
Romance,100,35,8.532233,5.479209,4.129184
Romance,200,35,8.055612,5.425595,4.149127
