Genre,n,K,avg_count,avg_estimation_rating,avg_original_rating
Thriller,ORIGINAL,15,1.901374,5.799173,3.947684
Thriller,25,15,2.103268,5.758837,3.941372
Thriller,50,15,1.988956,5.728733,3.944661
Thriller,100,15,1.798686,5.729663,3.988584
Thriller,200,15,1.927149,5.713494,3.970118
Thriller,ORIGINAL,25,3.113376,5.656008,3.990797
Thriller,25,25,3.449854,5.624471,3.980156
Thriller,50,25,3.275176,5.610397,3.981357
Thriller,100,25,3.099019,5.606855,4.027396
Thriller,200,25,3.211347,5.591827,4.011670
Thriller,ORIGINAL,35,4.292247,5.566069,4.014965
Thriller,25,35,4.779855,5.539645,4.002790
Thriller,50,35,4.538466,5.532342,4.002497
Thriller,100,35,4.414140,5.527399,4.047791
Thriller,200,35,4.484108,5.515276,4.031025
