Genre,n,K,avg_count,avg_estimation_rating,avg_original_rating
Drama,ORIGINAL,15,4.927018,5.796898,3.972770
Drama,25,15,4.738264,5.732693,3.999243
Drama,50,15,5.645908,5.756407,3.980198
Drama,100,15,4.900794,5.747960,3.973277
Drama,200,15,5.210991,5.722138,4.021676
Drama,ORIGINAL,25,8.096548,5.659453,4.015269
Drama,25,25,7.942647,5.613512,4.030765
Drama,50,25,8.966345,5.631303,4.012274
Drama,100,25,7.995264,5.628034,4.007071
Drama,200,25,8.534161,5.605952,4.050038
Drama,ORIGINAL,35,11.234726,5.570511,4.038165
Drama,25,35,11.109108,5.535287,4.048346
Drama,50,35,12.215559,5.548461,4.031832
Drama,100,35,11.063754,5.546107,4.027546
Drama,200,35,11.799379,5.528420,4.065835
