Genre,n,K,avg_count,avg_estimation_rating,avg_original_rating
Historical,ORIGINAL,15,1.066655,5.633539,4.108473
Historical,25,15,1.498184,5.616161,4.084509
Historical,50,15,1.507506,5.687283,4.006153
Historical,100,15,1.165693,5.662823,4.070327
Historical,200,15,1.357330,5.601023,4.027753
Historical,ORIGINAL,25,1.886381,5.540944,4.118156
Historical,25,25,2.556866,5.535178,4.093277
Historical,50,25,2.628500,5.584288,4.033192
Historical,100,25,2.143063,5.570805,4.088655
Historical,200,25,2.373184,5.517036,4.056251
Historical,ORIGINAL,35,2.708988,5.480907,4.119989
Historical,25,35,3.624607,5.477180,4.096508
Historical,50,35,3.780810,5.515599,4.048530
Historical,100,35,3.180387,5.507286,4.096677
Historical,200,35,3.440645,5.458482,4.067196
