Genre,n,K,avg_count,avg_estimation_rating,avg_original_rating
Nonfiction,ORIGINAL,15,2.215259,5.829467,3.971948
Nonfiction,25,15,2.271657,5.768715,3.987755
Nonfiction,50,15,2.254998,5.782626,3.974392
Nonfiction,100,15,2.347016,5.725530,4.037478
Nonfiction,200,15,2.036557,5.683810,4.027588
Nonfiction,ORIGINAL,25,3.462302,5.696974,3.998229
Nonfiction,25,25,3.694313,5.640656,4.015900
Nonfiction,50,25,3.658468,5.664056,3.997202
Nonfiction,100,25,3.960392,5.611534,4.052899
Nonfiction,200,25,3.390779,5.579241,4.042384
Nonfiction,ORIGINAL,35,4.705900,5.607680,4.015387
Nonfiction,25,35,5.168913,5.554207,4.033892
Nonfiction,50,35,5.121294,5.582356,4.013720
Nonfiction,100,35,5.602295,5.534093,4.063181
Nonfiction,200,35,4.839042,5.504589,4.053400
