Adult + Thriller:
pair_both (contains both genres):
  original 15: unique_books: 2
  original 25: unique_books: 2
  original 35: unique_books: 3
  2u, 15, unique_books: 3
  4u, 15, unique_books: 4
  6u, 15, unique_books: 4
  25u, 15, unique_books: 4
  50u, 15, unique_books: 4
  100u, 15, unique_books: 4
  200u, 15, unique_books: 4
  300u, 15, unique_books: 4
  500u, 15, unique_books: 4
  1000u, 15, unique_books: 4
  2u, 25, unique_books: 4
  4u, 25, unique_books: 4
  6u, 25, unique_books: 4
  25u, 25, unique_books: 4
  50u, 25, unique_books: 4
  100u, 25, unique_books: 4
  200u, 25, unique_books: 4
  300u, 25, unique_books: 4
  500u, 25, unique_books: 4
  1000u, 25, unique_books: 4
  2u, 35, unique_books: 4
  4u, 35, unique_books: 4
  6u, 35, unique_books: 4
  25u, 35, unique_books: 4
  50u, 35, unique_books: 4
  100u, 35, unique_books: 4
  200u, 35, unique_books: 4
  300u, 35, unique_books: 4
  500u, 35, unique_books: 4
  1000u, 35, unique_books: 4

G1 contains only (any book containing G1):
  original 15: unique_books: 86
  original 25: unique_books: 110
  original 35: unique_books: 129
  2u, 15, unique_books: 82
  4u, 15, unique_books: 98
  6u, 15, unique_books: 85
  25u, 15, unique_books: 87
  50u, 15, unique_books: 81
  100u, 15, unique_books: 76
  200u, 15, unique_books: 70
  300u, 15, unique_books: 78
  500u, 15, unique_books: 79
  1000u, 15, unique_books: 61
  2u, 25, unique_books: 113
  4u, 25, unique_books: 118
  6u, 25, unique_books: 112
  25u, 25, unique_books: 117
  50u, 25, unique_books: 108
  100u, 25, unique_books: 104
  200u, 25, unique_books: 100
  300u, 25, unique_books: 100
  500u, 25, unique_books: 98
  1000u, 25, unique_books: 90
  2u, 35, unique_books: 129
  4u, 35, unique_books: 143
  6u, 35, unique_books: 134
  25u, 35, unique_books: 134
  50u, 35, unique_books: 127
  100u, 35, unique_books: 116
  200u, 35, unique_books: 124
  300u, 35, unique_books: 122
  500u, 35, unique_books: 113
  1000u, 35, unique_books: 103

G2 contains only (any book containing G2):
  original 15: unique_books: 254
  original 25: unique_books: 346
  original 35: unique_books: 418
  2u, 15, unique_books: 251
  4u, 15, unique_books: 281
  6u, 15, unique_books: 240
  25u, 15, unique_books: 241
  50u, 15, unique_books: 225
  100u, 15, unique_books: 241
  200u, 15, unique_books: 244
  300u, 15, unique_books: 246
  500u, 15, unique_books: 245
  1000u, 15, unique_books: 238
  2u, 25, unique_books: 336
  4u, 25, unique_books: 365
  6u, 25, unique_books: 332
  25u, 25, unique_books: 325
  50u, 25, unique_books: 296
  100u, 25, unique_books: 326
  200u, 25, unique_books: 330
  300u, 25, unique_books: 332
  500u, 25, unique_books: 330
  1000u, 25, unique_books: 301
  2u, 35, unique_books: 396
  4u, 35, unique_books: 439
  6u, 35, unique_books: 398
  25u, 35, unique_books: 422
  50u, 35, unique_books: 375
  100u, 35, unique_books: 396
  200u, 35, unique_books: 416
  300u, 35, unique_books: 410
  500u, 35, unique_books: 414
  1000u, 35, unique_books: 376
