Adventure + Horror:
pair_both (contains both genres):
  original 15: unique_books: 2
  original 25: unique_books: 2
  original 35: unique_books: 2
  2u, 15, unique_books: 2
  4u, 15, unique_books: 6
  6u, 15, unique_books: 7
  25u, 15, unique_books: 7
  50u, 15, unique_books: 7
  100u, 15, unique_books: 7
  200u, 15, unique_books: 7
  300u, 15, unique_books: 7
  500u, 15, unique_books: 7
  1000u, 15, unique_books: 7
  2u, 25, unique_books: 3
  4u, 25, unique_books: 6
  6u, 25, unique_books: 7
  25u, 25, unique_books: 7
  50u, 25, unique_books: 7
  100u, 25, unique_books: 7
  200u, 25, unique_books: 7
  300u, 25, unique_books: 7
  500u, 25, unique_books: 7
  1000u, 25, unique_books: 7
  2u, 35, unique_books: 3
  4u, 35, unique_books: 6
  6u, 35, unique_books: 7
  25u, 35, unique_books: 7
  50u, 35, unique_books: 7
  100u, 35, unique_books: 7
  200u, 35, unique_books: 7
  300u, 35, unique_books: 7
  500u, 35, unique_books: 7
  1000u, 35, unique_books: 7

G1 contains only (any book containing G1):
  original 15: unique_books: 398
  original 25: unique_books: 549
  original 35: unique_books: 663
  2u, 15, unique_books: 389
  4u, 15, unique_books: 432
  6u, 15, unique_books: 375
  25u, 15, unique_books: 347
  50u, 15, unique_books: 326
  100u, 15, unique_books: 372
  200u, 15, unique_books: 372
  300u, 15, unique_books: 367
  500u, 15, unique_books: 389
  1000u, 15, unique_books: 379
  2u, 25, unique_books: 545
  4u, 25, unique_books: 596
  6u, 25, unique_books: 528
  25u, 25, unique_books: 488
  50u, 25, unique_books: 448
  100u, 25, unique_books: 503
  200u, 25, unique_books: 503
  300u, 25, unique_books: 509
  500u, 25, unique_books: 509
  1000u, 25, unique_books: 516
  2u, 35, unique_books: 661
  4u, 35, unique_books: 709
  6u, 35, unique_books: 627
  25u, 35, unique_books: 599
  50u, 35, unique_books: 558
  100u, 35, unique_books: 610
  200u, 35, unique_books: 619
  300u, 35, unique_books: 610
  500u, 35, unique_books: 604
  1000u, 35, unique_books: 623

G2 contains only (any book containing G2):
  original 15: unique_books: 170
  original 25: unique_books: 238
  original 35: unique_books: 281
  2u, 15, unique_books: 174
  4u, 15, unique_books: 186
  6u, 15, unique_books: 177
  25u, 15, unique_books: 159
  50u, 15, unique_books: 142
  100u, 15, unique_books: 154
  200u, 15, unique_books: 148
  300u, 15, unique_books: 163
  500u, 15, unique_books: 162
  1000u, 15, unique_books: 160
  2u, 25, unique_books: 231
  4u, 25, unique_books: 244
  6u, 25, unique_books: 225
  25u, 25, unique_books: 215
  50u, 25, unique_books: 202
  100u, 25, unique_books: 209
  200u, 25, unique_books: 198
  300u, 25, unique_books: 223
  500u, 25, unique_books: 223
  1000u, 25, unique_books: 205
  2u, 35, unique_books: 279
  4u, 35, unique_books: 288
  6u, 35, unique_books: 267
  25u, 35, unique_books: 264
  50u, 35, unique_books: 241
  100u, 35, unique_books: 252
  200u, 35, unique_books: 233
  300u, 35, unique_books: 268
  500u, 35, unique_books: 286
  1000u, 35, unique_books: 252
