Fantasy + Historical:
pair_both (contains both genres):
  original 15: unique_books: 8
  original 25: unique_books: 12
  original 35: unique_books: 15
  2u, 15, unique_books: 21
  4u, 15, unique_books: 33
  6u, 15, unique_books: 39
  25u, 15, unique_books: 39
  50u, 15, unique_books: 39
  100u, 15, unique_books: 39
  200u, 15, unique_books: 39
  300u, 15, unique_books: 39
  500u, 15, unique_books: 39
  1000u, 15, unique_books: 39
  2u, 25, unique_books: 27
  4u, 25, unique_books: 35
  6u, 25, unique_books: 39
  25u, 25, unique_books: 39
  50u, 25, unique_books: 39
  100u, 25, unique_books: 39
  200u, 25, unique_books: 39
  300u, 25, unique_books: 39
  500u, 25, unique_books: 39
  1000u, 25, unique_books: 39
  2u, 35, unique_books: 29
  4u, 35, unique_books: 35
  6u, 35, unique_books: 39
  25u, 35, unique_books: 39
  50u, 35, unique_books: 39
  100u, 35, unique_books: 39
  200u, 35, unique_books: 39
  300u, 35, unique_books: 39
  500u, 35, unique_books: 39
  1000u, 35, unique_books: 39

G1 contains only (any book containing G1):
  original 15: unique_books: 504
  original 25: unique_books: 676
  original 35: unique_books: 809
  2u, 15, unique_books: 509
  4u, 15, unique_books: 557
  6u, 15, unique_books: 503
  25u, 15, unique_books: 408
  50u, 15, unique_books: 370
  100u, 15, unique_books: 376
  200u, 15, unique_books: 399
  300u, 15, unique_books: 417
  500u, 15, unique_books: 462
  1000u, 15, unique_books: 475
  2u, 25, unique_books: 685
  4u, 25, unique_books: 714
  6u, 25, unique_books: 672
  25u, 25, unique_books: 538
  50u, 25, unique_books: 501
  100u, 25, unique_books: 510
  200u, 25, unique_books: 520
  300u, 25, unique_books: 562
  500u, 25, unique_books: 621
  1000u, 25, unique_books: 626
  2u, 35, unique_books: 819
  4u, 35, unique_books: 846
  6u, 35, unique_books: 790
  25u, 35, unique_books: 648
  50u, 35, unique_books: 608
  100u, 35, unique_books: 624
  200u, 35, unique_books: 629
  300u, 35, unique_books: 687
  500u, 35, unique_books: 742
  1000u, 35, unique_books: 753

G2 contains only (any book containing G2):
  original 15: unique_books: 151
  original 25: unique_books: 218
  original 35: unique_books: 284
  2u, 15, unique_books: 172
  4u, 15, unique_books: 192
  6u, 15, unique_books: 169
  25u, 15, unique_books: 144
  50u, 15, unique_books: 135
  100u, 15, unique_books: 129
  200u, 15, unique_books: 143
  300u, 15, unique_books: 142
  500u, 15, unique_books: 181
  1000u, 15, unique_books: 168
  2u, 25, unique_books: 235
  4u, 25, unique_books: 249
  6u, 25, unique_books: 216
  25u, 25, unique_books: 188
  50u, 25, unique_books: 183
  100u, 25, unique_books: 174
  200u, 25, unique_books: 194
  300u, 25, unique_books: 194
  500u, 25, unique_books: 242
  1000u, 25, unique_books: 221
  2u, 35, unique_books: 289
  4u, 35, unique_books: 298
  6u, 35, unique_books: 255
  25u, 35, unique_books: 233
  50u, 35, unique_books: 223
  100u, 35, unique_books: 229
  200u, 35, unique_books: 230
  300u, 35, unique_books: 237
  500u, 35, unique_books: 285
  1000u, 35, unique_books: 267
