Adult + children s:

pair_both (AND):
  original 15: unique_books: 0
  original 25: unique_books: 0
  original 35: unique_books: 0
  2u, 15, unique_books: 0
  6u, 15, unique_books: 0
  200u, 15, unique_books: 0
  2u, 25, unique_books: 0
  6u, 25, unique_books: 0
  200u, 25, unique_books: 0
  2u, 35, unique_books: 0
  6u, 35, unique_books: 0
  200u, 35, unique_books: 0

pair_or (OR):
  original 15: unique_books: 86
  original 25: unique_books: 110
  original 35: unique_books: 129
  2u, 15, unique_books: 90
  6u, 15, unique_books: 90
  200u, 15, unique_books: 118
  2u, 25, unique_books: 115
  6u, 25, unique_books: 127
  200u, 25, unique_books: 164
  2u, 35, unique_books: 135
  6u, 35, unique_books: 149
  200u, 35, unique_books: 204

single G1:
  original 15: unique_books: 86
  original 25: unique_books: 110
  original 35: unique_books: 129
  2u, 15, unique_books: 90
  6u, 15, unique_books: 90
  200u, 15, unique_books: 118
  2u, 25, unique_books: 115
  6u, 25, unique_books: 127
  200u, 25, unique_books: 164
  2u, 35, unique_books: 135
  6u, 35, unique_books: 149
  200u, 35, unique_books: 204

single G2:
  original 15: unique_books: 0
  original 25: unique_books: 0
  original 35: unique_books: 0
  2u, 15, unique_books: 0
  6u, 15, unique_books: 0
  200u, 15, unique_books: 0
  2u, 25, unique_books: 0
  6u, 25, unique_books: 0
  200u, 25, unique_books: 0
  2u, 35, unique_books: 0
  6u, 35, unique_books: 0
  200u, 35, unique_books: 0
