Romance + Science Fiction:

pair_both (AND):
  original 15: unique_books: 3
  original 25: unique_books: 4
  original 35: unique_books: 4
  2u, 15, unique_books: 0
  6u, 15, unique_books: 3
  200u, 15, unique_books: 2
  2u, 25, unique_books: 2
  6u, 25, unique_books: 4
  200u, 25, unique_books: 3
  2u, 35, unique_books: 2
  6u, 35, unique_books: 7
  200u, 35, unique_books: 5

pair_or (OR):
  original 15: unique_books: 543
  original 25: unique_books: 738
  original 35: unique_books: 912
  2u, 15, unique_books: 535
  6u, 15, unique_books: 549
  200u, 15, unique_books: 667
  2u, 25, unique_books: 725
  6u, 25, unique_books: 741
  200u, 25, unique_books: 907
  2u, 35, unique_books: 883
  6u, 35, unique_books: 914
  200u, 35, unique_books: 1098

single G1:
  original 15: unique_books: 399
  original 25: unique_books: 538
  original 35: unique_books: 669
  2u, 15, unique_books: 403
  6u, 15, unique_books: 403
  200u, 15, unique_books: 464
  2u, 25, unique_books: 528
  6u, 25, unique_books: 540
  200u, 25, unique_books: 632
  2u, 35, unique_books: 647
  6u, 35, unique_books: 665
  200u, 35, unique_books: 768

single G2:
  original 15: unique_books: 147
  original 25: unique_books: 204
  original 35: unique_books: 247
  2u, 15, unique_books: 132
  6u, 15, unique_books: 149
  200u, 15, unique_books: 205
  2u, 25, unique_books: 199
  6u, 25, unique_books: 205
  200u, 25, unique_books: 278
  2u, 35, unique_books: 238
  6u, 35, unique_books: 256
  200u, 35, unique_books: 335
