children s + Fantasy:

pair_both (AND):
  original 15: unique_books: 0
  original 25: unique_books: 0
  original 35: unique_books: 0
  2u, 15, unique_books: 0
  6u, 15, unique_books: 0
  200u, 15, unique_books: 0
  2u, 25, unique_books: 0
  6u, 25, unique_books: 0
  200u, 25, unique_books: 0
  2u, 35, unique_books: 0
  6u, 35, unique_books: 0
  200u, 35, unique_books: 0

pair_or (OR):
  original 15: unique_books: 504
  original 25: unique_books: 676
  original 35: unique_books: 809
  2u, 15, unique_books: 512
  6u, 15, unique_books: 525
  200u, 15, unique_books: 561
  2u, 25, unique_books: 688
  6u, 25, unique_books: 691
  200u, 25, unique_books: 737
  2u, 35, unique_books: 815
  6u, 35, unique_books: 801
  200u, 35, unique_books: 881

single G1:
  original 15: unique_books: 0
  original 25: unique_books: 0
  original 35: unique_books: 0
  2u, 15, unique_books: 0
  6u, 15, unique_books: 0
  200u, 15, unique_books: 0
  2u, 25, unique_books: 0
  6u, 25, unique_books: 0
  200u, 25, unique_books: 0
  2u, 35, unique_books: 0
  6u, 35, unique_books: 0
  200u, 35, unique_books: 0

single G2:
  original 15: unique_books: 504
  original 25: unique_books: 676
  original 35: unique_books: 809
  2u, 15, unique_books: 512
  6u, 15, unique_books: 525
  200u, 15, unique_books: 561
  2u, 25, unique_books: 688
  6u, 25, unique_books: 691
  200u, 25, unique_books: 737
  2u, 35, unique_books: 815
  6u, 35, unique_books: 801
  200u, 35, unique_books: 881
