nohup: ignoring input
✅ Business & Finance | 27 users → +274,671 rows
✅ Business & Finance | 105 users → +1,068,165 rows
✅ Business & Finance | 2643 users → +26,887,239 rows
✅ Games | 27 users → +274,671 rows
✅ Games | 105 users → +1,068,165 rows
✅ Games | 2643 users → +26,887,239 rows
✅ Health & Lifestyle | 27 users → +274,671 rows
✅ Health & Lifestyle | 105 users → +1,068,165 rows
✅ Health & Lifestyle | 2643 users → +26,887,239 rows
✅ Info & Reading | 27 users → +274,671 rows
✅ Info & Reading | 105 users → +1,068,165 rows
✅ Info & Reading | 2643 users → +26,887,239 rows
✅ Learning & Education | 27 users → +274,671 rows
✅ Learning & Education | 105 users → +1,068,165 rows
✅ Learning & Education | 2643 users → +26,887,239 rows
✅ Media & Creativity | 27 users → +274,671 rows
✅ Media & Creativity | 105 users → +1,068,165 rows
✅ Media & Creativity | 2643 users → +26,887,239 rows
✅ Medical | 27 users → +274,671 rows
✅ Medical | 105 users → +1,068,165 rows
✅ Medical | 2643 users → +26,887,239 rows
✅ Productivity & Tools | 27 users → +274,671 rows
✅ Productivity & Tools | 105 users → +1,068,165 rows
✅ Productivity & Tools | 2643 users → +26,887,239 rows
✅ Social & Comms | 27 users → +274,671 rows
✅ Social & Comms | 105 users → +1,068,165 rows
✅ Social & Comms | 2643 users → +26,887,239 rows
✅ Travel & Navigation | 27 users → +274,671 rows
✅ Travel & Navigation | 105 users → +1,068,165 rows
✅ Travel & Navigation | 2643 users → +26,887,239 rows
🏁 Done. Heavy bias injection completed.
📄 Summary written to: /home/moshtasa/Research/phd-svd-recsys/Mobile/SVD/result/rec/top_re/1216/SINGLE_INJECTION/injection_summary.txt
📁 Outputs in: /home/moshtasa/Research/phd-svd-recsys/Mobile/SVD/result/rec/top_re/1216/SINGLE_INJECTION
