nohup: ignoring input
✅ Business & Finance | 27u → f_Business___Finance_27u_pos5_neg1_all.csv | +274,671 rows (pos_apps=781, neg_apps=9,392)
✅ Business & Finance | 105u → f_Business___Finance_105u_pos5_neg1_all.csv | +1,068,165 rows (pos_apps=781, neg_apps=9,392)
✅ Business & Finance | 2643u → f_Business___Finance_2643u_pos5_neg1_all.csv | +26,887,239 rows (pos_apps=781, neg_apps=9,392)
✅ Business & Finance | 105u → f_Business___Finance_105u_pos5_neg1_all.csv | +1,068,165 rows (pos_apps=781, neg_apps=9,392)
✅ Games | 27u → f_Games_27u_pos5_neg1_all.csv | +274,671 rows (pos_apps=5,025, neg_apps=5,148)
✅ Games | 105u → f_Games_105u_pos5_neg1_all.csv | +1,068,165 rows (pos_apps=5,025, neg_apps=5,148)
✅ Games | 2643u → f_Games_2643u_pos5_neg1_all.csv | +26,887,239 rows (pos_apps=5,025, neg_apps=5,148)
✅ Games | 105u → f_Games_105u_pos5_neg1_all.csv | +1,068,165 rows (pos_apps=5,025, neg_apps=5,148)
✅ Health & Lifestyle | 27u → f_Health___Lifestyle_27u_pos5_neg1_all.csv | +274,671 rows (pos_apps=460, neg_apps=9,713)
✅ Health & Lifestyle | 105u → f_Health___Lifestyle_105u_pos5_neg1_all.csv | +1,068,165 rows (pos_apps=460, neg_apps=9,713)
✅ Health & Lifestyle | 2643u → f_Health___Lifestyle_2643u_pos5_neg1_all.csv | +26,887,239 rows (pos_apps=460, neg_apps=9,713)
✅ Health & Lifestyle | 105u → f_Health___Lifestyle_105u_pos5_neg1_all.csv | +1,068,165 rows (pos_apps=460, neg_apps=9,713)
✅ Info & Reading | 27u → f_Info___Reading_27u_pos5_neg1_all.csv | +274,671 rows (pos_apps=194, neg_apps=9,979)
✅ Info & Reading | 105u → f_Info___Reading_105u_pos5_neg1_all.csv | +1,068,165 rows (pos_apps=194, neg_apps=9,979)
✅ Info & Reading | 2643u → f_Info___Reading_2643u_pos5_neg1_all.csv | +26,887,239 rows (pos_apps=194, neg_apps=9,979)
✅ Info & Reading | 105u → f_Info___Reading_105u_pos5_neg1_all.csv | +1,068,165 rows (pos_apps=194, neg_apps=9,979)
✅ Learning & Education | 27u → f_Learning___Education_27u_pos5_neg1_all.csv | +274,671 rows (pos_apps=849, neg_apps=9,324)
✅ Learning & Education | 105u → f_Learning___Education_105u_pos5_neg1_all.csv | +1,068,165 rows (pos_apps=849, neg_apps=9,324)
✅ Learning & Education | 2643u → f_Learning___Education_2643u_pos5_neg1_all.csv | +26,887,239 rows (pos_apps=849, neg_apps=9,324)
✅ Learning & Education | 105u → f_Learning___Education_105u_pos5_neg1_all.csv | +1,068,165 rows (pos_apps=849, neg_apps=9,324)
✅ Media & Creativity | 27u → f_Media___Creativity_27u_pos5_neg1_all.csv | +274,671 rows (pos_apps=777, neg_apps=9,396)
✅ Media & Creativity | 105u → f_Media___Creativity_105u_pos5_neg1_all.csv | +1,068,165 rows (pos_apps=777, neg_apps=9,396)
✅ Media & Creativity | 2643u → f_Media___Creativity_2643u_pos5_neg1_all.csv | +26,887,239 rows (pos_apps=777, neg_apps=9,396)
✅ Media & Creativity | 105u → f_Media___Creativity_105u_pos5_neg1_all.csv | +1,068,165 rows (pos_apps=777, neg_apps=9,396)
✅ Medical | 27u → f_Medical_27u_pos5_neg1_all.csv | +274,671 rows (pos_apps=422, neg_apps=9,751)
✅ Medical | 105u → f_Medical_105u_pos5_neg1_all.csv | +1,068,165 rows (pos_apps=422, neg_apps=9,751)
✅ Medical | 2643u → f_Medical_2643u_pos5_neg1_all.csv | +26,887,239 rows (pos_apps=422, neg_apps=9,751)
✅ Medical | 105u → f_Medical_105u_pos5_neg1_all.csv | +1,068,165 rows (pos_apps=422, neg_apps=9,751)
✅ Productivity & Tools | 27u → f_Productivity___Tools_27u_pos5_neg1_all.csv | +274,671 rows (pos_apps=770, neg_apps=9,403)
✅ Productivity & Tools | 105u → f_Productivity___Tools_105u_pos5_neg1_all.csv | +1,068,165 rows (pos_apps=770, neg_apps=9,403)
✅ Productivity & Tools | 2643u → f_Productivity___Tools_2643u_pos5_neg1_all.csv | +26,887,239 rows (pos_apps=770, neg_apps=9,403)
