Cluster 2 - Average Entropy per Bin (0_40_80_120_1960)
Bin	UserCount	RawEntropy	rec_entropy_0	rec_entropy_40_1960	rec_entropy_80_1960	rec_entropy_120_1960
1	31	1.1232	1.1866	1.2161	1.2143	1.2143
2	31	1.1788	1.1709	1.1884	1.1884	1.1884
3	31	1.2395	1.3265	1.3353	1.3322	1.3322
4	31	1.2938	1.3109	1.3046	1.3046	1.3069
5	31	1.3402	1.3921	1.3935	1.3947	1.3947
6	31	1.3896	1.3694	1.3700	1.3700	1.3700
7	31	1.4602	1.4809	1.4663	1.4663	1.4663
8	31	1.5247	1.5194	1.5275	1.5244	1.5244
9	31	1.6208	1.5944	1.5925	1.5925	1.5940
10	35	1.7707	1.7012	1.7075	1.7075	1.7075
