Cluster 1 - Average Entropy per Bin (0_40_80_120_1960)
Bin	UserCount	RawEntropy	rec_entropy_0	rec_entropy_40_1960	rec_entropy_80_1960	rec_entropy_120_1960
1	31	0.3691	0.3363	0.3549	0.3549	0.3549
2	31	0.4988	0.6167	0.6261	0.6291	0.6291
3	31	0.5871	0.8012	0.8011	0.8046	0.8046
4	31	0.6708	0.8085	0.8031	0.8031	0.8031
5	31	0.7494	0.8428	0.8564	0.8564	0.8535
6	31	0.8223	0.9293	0.9397	0.9367	0.9367
7	31	0.8790	0.9297	0.9293	0.9293	0.9293
8	31	0.9326	1.0126	1.0087	1.0104	1.0104
9	31	0.9875	1.0325	1.0643	1.0643	1.0643
10	35	1.0541	1.1242	1.1446	1.1456	1.1428
