Fantasy + Science Fiction:
pair_both (contains both genres):
  original 15: unique_books: 10
  original 25: unique_books: 14
  original 35: unique_books: 17
  2u, 15, unique_books: 21
  4u, 15, unique_books: 39
  6u, 15, unique_books: 40
  25u, 15, unique_books: 40
  50u, 15, unique_books: 41
  100u, 15, unique_books: 41
  200u, 15, unique_books: 41
  300u, 15, unique_books: 41
  500u, 15, unique_books: 41
  1000u, 15, unique_books: 41
  2u, 25, unique_books: 24
  4u, 25, unique_books: 40
  6u, 25, unique_books: 40
  25u, 25, unique_books: 41
  50u, 25, unique_books: 41
  100u, 25, unique_books: 41
  200u, 25, unique_books: 41
  300u, 25, unique_books: 41
  500u, 25, unique_books: 41
  1000u, 25, unique_books: 41
  2u, 35, unique_books: 29
  4u, 35, unique_books: 41
  6u, 35, unique_books: 41
  25u, 35, unique_books: 41
  50u, 35, unique_books: 41
  100u, 35, unique_books: 41
  200u, 35, unique_books: 41
  300u, 35, unique_books: 41
  500u, 35, unique_books: 41
  1000u, 35, unique_books: 41

G1 contains only (any book containing G1):
  original 15: unique_books: 504
  original 25: unique_books: 676
  original 35: unique_books: 809
  2u, 15, unique_books: 505
  4u, 15, unique_books: 562
  6u, 15, unique_books: 491
  25u, 15, unique_books: 403
  50u, 15, unique_books: 360
  100u, 15, unique_books: 384
  200u, 15, unique_books: 389
  300u, 15, unique_books: 415
  500u, 15, unique_books: 445
  1000u, 15, unique_books: 461
  2u, 25, unique_books: 680
  4u, 25, unique_books: 712
  6u, 25, unique_books: 645
  25u, 25, unique_books: 547
  50u, 25, unique_books: 485
  100u, 25, unique_books: 518
  200u, 25, unique_books: 515
  300u, 25, unique_books: 548
  500u, 25, unique_books: 581
  1000u, 25, unique_books: 597
  2u, 35, unique_books: 813
  4u, 35, unique_books: 831
  6u, 35, unique_books: 777
  25u, 35, unique_books: 666
  50u, 35, unique_books: 601
  100u, 35, unique_books: 630
  200u, 35, unique_books: 638
  300u, 35, unique_books: 669
  500u, 35, unique_books: 701
  1000u, 35, unique_books: 722

G2 contains only (any book containing G2):
  original 15: unique_books: 147
  original 25: unique_books: 204
  original 35: unique_books: 247
  2u, 15, unique_books: 138
  4u, 15, unique_books: 177
  6u, 15, unique_books: 142
  25u, 15, unique_books: 139
  50u, 15, unique_books: 118
  100u, 15, unique_books: 141
  200u, 15, unique_books: 133
  300u, 15, unique_books: 134
  500u, 15, unique_books: 150
  1000u, 15, unique_books: 155
  2u, 25, unique_books: 198
  4u, 25, unique_books: 228
  6u, 25, unique_books: 200
  25u, 25, unique_books: 178
  50u, 25, unique_books: 175
  100u, 25, unique_books: 192
  200u, 25, unique_books: 183
  300u, 25, unique_books: 191
  500u, 25, unique_books: 183
  1000u, 25, unique_books: 210
  2u, 35, unique_books: 249
  4u, 35, unique_books: 277
  6u, 35, unique_books: 238
  25u, 35, unique_books: 218
  50u, 35, unique_books: 212
  100u, 35, unique_books: 228
  200u, 35, unique_books: 221
  300u, 35, unique_books: 218
  500u, 35, unique_books: 229
  1000u, 35, unique_books: 246
