Mystery + Science Fiction:

pair_both (AND):
  original 15: unique_books: 22
  original 25: unique_books: 32
  original 35: unique_books: 37
  2u, 15, unique_books: 21
  6u, 15, unique_books: 17
  200u, 15, unique_books: 23
  2u, 25, unique_books: 31
  6u, 25, unique_books: 23
  200u, 25, unique_books: 28
  2u, 35, unique_books: 39
  6u, 35, unique_books: 30
  200u, 35, unique_books: 34

pair_or (OR):
  original 15: unique_books: 563
  original 25: unique_books: 778
  original 35: unique_books: 942
  2u, 15, unique_books: 572
  6u, 15, unique_books: 585
  200u, 15, unique_books: 661
  2u, 25, unique_books: 777
  6u, 25, unique_books: 782
  200u, 25, unique_books: 887
  2u, 35, unique_books: 933
  6u, 35, unique_books: 943
  200u, 35, unique_books: 1079

single G1:
  original 15: unique_books: 438
  original 25: unique_books: 606
  original 35: unique_books: 732
  2u, 15, unique_books: 456
  6u, 15, unique_books: 464
  200u, 15, unique_books: 521
  2u, 25, unique_books: 608
  6u, 25, unique_books: 607
  200u, 25, unique_books: 698
  2u, 35, unique_books: 728
  6u, 35, unique_books: 727
  200u, 35, unique_books: 843

single G2:
  original 15: unique_books: 147
  original 25: unique_books: 204
  original 35: unique_books: 247
  2u, 15, unique_books: 137
  6u, 15, unique_books: 138
  200u, 15, unique_books: 163
  2u, 25, unique_books: 200
  6u, 25, unique_books: 198
  200u, 25, unique_books: 217
  2u, 35, unique_books: 244
  6u, 35, unique_books: 246
  200u, 35, unique_books: 270
