children s + Romance:

pair_both (AND):
  original 15: unique_books: 0
  original 25: unique_books: 0
  original 35: unique_books: 0
  2u, 15, unique_books: 0
  6u, 15, unique_books: 0
  200u, 15, unique_books: 0
  2u, 25, unique_books: 0
  6u, 25, unique_books: 0
  200u, 25, unique_books: 0
  2u, 35, unique_books: 0
  6u, 35, unique_books: 0
  200u, 35, unique_books: 0

pair_or (OR):
  original 15: unique_books: 399
  original 25: unique_books: 538
  original 35: unique_books: 669
  2u, 15, unique_books: 407
  6u, 15, unique_books: 425
  200u, 15, unique_books: 436
  2u, 25, unique_books: 532
  6u, 25, unique_books: 546
  200u, 25, unique_books: 585
  2u, 35, unique_books: 645
  6u, 35, unique_books: 668
  200u, 35, unique_books: 721

single G1:
  original 15: unique_books: 0
  original 25: unique_books: 0
  original 35: unique_books: 0
  2u, 15, unique_books: 0
  6u, 15, unique_books: 0
  200u, 15, unique_books: 0
  2u, 25, unique_books: 0
  6u, 25, unique_books: 0
  200u, 25, unique_books: 0
  2u, 35, unique_books: 0
  6u, 35, unique_books: 0
  200u, 35, unique_books: 0

single G2:
  original 15: unique_books: 399
  original 25: unique_books: 538
  original 35: unique_books: 669
  2u, 15, unique_books: 407
  6u, 15, unique_books: 425
  200u, 15, unique_books: 436
  2u, 25, unique_books: 532
  6u, 25, unique_books: 546
  200u, 25, unique_books: 585
  2u, 35, unique_books: 645
  6u, 35, unique_books: 668
  200u, 35, unique_books: 721
