Cluster 0 - Average Entropy per Bin (final_240_528_1056)
Bin	UserCount	RawEntropy	rec_entropy_final	rec_entropy_240	rec_entropy_528	rec_entropy_1056
1	1780	0.4802	0.4170	0.4155	0.4046	0.4036
2	1780	0.8031	0.7234	0.7216	0.7150	0.7117
3	1780	0.9512	0.8615	0.8619	0.8586	0.8566
4	1780	1.0607	0.9562	0.9593	0.9583	0.9553
5	1780	1.1547	1.0561	1.0583	1.0599	1.0560
6	1780	1.2412	1.1390	1.1412	1.1429	1.1361
7	1780	1.3190	1.2344	1.2375	1.2401	1.2348
8	1780	1.3877	1.3033	1.3107	1.3128	1.3045
9	1780	1.4523	1.3828	1.3866	1.3890	1.3853
10	1789	1.5114	1.4421	1.4397	1.4489	1.4405
