Cluster 1 - All Entropy Columns per Bin
Base Entropy Range: 1.7918 → 2.3513

Bin	UserCount	rec_entropy_final	rec_entropy_240	rec_entropy_528	rec_entropy_1056
1	23337	2.6799	2.0899	1.1032	0.5209
2	23337	2.6791	2.0791	1.1016	0.5120
3	23337	2.6824	1.9318	1.0809	0.5309
4	23337	2.6842	1.9619	1.1108	0.5528
5	23337	2.6818	2.1338	1.1764	0.5831
6	23337	2.6832	2.0395	1.1435	0.5757
7	23337	2.6838	2.0361	1.1737	0.6172
8	23337	2.6829	2.1152	1.2066	0.6322
9	23337	2.6853	2.1351	1.2407	0.6754
10	23337	2.6861	2.0613	1.2498	0.7111
