Cluster 0 - Average Entropy per Bin (base)
Bin	UserCount	RawEntropy	RecEnt_final	RecEnt_240	RecEnt_528	RecEnt_1056
1	2333710	1.2577	2.6818	1.5318	0.8177	0.3701
2	2333710	1.3418	2.6807	1.6574	0.8709	0.3850
3	2333710	1.5492	2.6808	1.7285	0.9550	0.4354
4	2333710	1.5609	2.6811	1.7947	0.9609	0.4333
5	2333710	1.6094	2.6798	2.0277	1.0450	0.4617
6	2333710	1.6094	2.6790	2.0260	1.0390	0.4565
7	2333710	1.6094	2.6793	2.0083	1.0240	0.4501
8	2333710	1.6251	2.6809	1.9261	1.0283	0.4677
9	2333710	1.7434	2.6831	1.8520	1.0363	0.4927
10	2333710	1.7598	2.6805	1.9261	1.0448	0.5035
