Cluster 1 - Average Entropy per Bin (base)
Bin	UserCount	FinalEntropy	final	240	528	1056
1	23337	2.4594	2.4594	1.9763	1.0983	0.5732
2	23337	2.5558	2.5558	2.0126	1.1105	0.5691
3	23337	2.6037	2.6037	2.0243	1.1227	0.5710
4	23337	2.6399	2.6399	2.0495	1.1412	0.5812
5	23337	2.6708	2.6708	2.0571	1.1452	0.5720
6	23337	2.7018	2.7018	2.0660	1.1756	0.5784
7	23337	2.7330	2.7330	2.0739	1.1732	0.5814
8	23337	2.7663	2.7663	2.0926	1.1722	0.5967
9	23337	2.8085	2.8085	2.0952	1.1863	0.6146
10	23337	2.8894	2.8894	2.1361	1.2622	0.6738
