Cluster 0 - Average Entropy per Bin (0_40_80_120)
Bin	UserCount	RawEntropy	rec_entropy_0	rec_entropy_40	rec_entropy_80	rec_entropy_120
1	31	0.0000	0.0490	0.0411	0.0411	0.0411
2	31	0.0000	0.0490	0.0459	0.0411	0.0411
3	31	0.0000	0.0079	0.0158	0.0158	0.0158
4	31	0.0000	0.0237	0.0079	0.0079	0.0079
5	31	0.0000	0.0459	0.0459	0.0459	0.0459
6	31	0.0389	0.1012	0.1090	0.1167	0.1167
7	31	0.1117	0.1328	0.1613	0.1565	0.1565
8	31	0.1452	0.1230	0.1355	0.1277	0.1277
9	31	0.1817	0.2199	0.2058	0.2137	0.2137
10	36	0.2510	0.1532	0.1466	0.1639	0.1775
