Cluster 1 - Average Entropy per Bin (0_40_80_120_1980)
Bin	UserCount	RawEntropy	rec_entropy_0	rec_entropy_40_1980	rec_entropy_80_1980	rec_entropy_120_1980
1	31	0.3691	0.2619	0.2392	0.2392	0.2392
2	31	0.4988	0.5671	0.5714	0.5714	0.5714
3	31	0.5871	0.6800	0.6763	0.6763	0.6763
4	31	0.6708	0.6663	0.7117	0.7074	0.7074
5	31	0.7494	0.7826	0.7943	0.7943	0.7943
6	31	0.8223	0.8442	0.8499	0.8499	0.8499
7	31	0.8790	0.8908	0.8631	0.8631	0.8631
8	31	0.9326	0.9654	0.9607	0.9677	0.9709
9	31	0.9875	1.0047	0.9972	0.9972	0.9972
10	35	1.0541	1.0585	1.0548	1.0548	1.0548
