Cluster 1 - Average Entropy per Bin (0_40_80_120_1940)
Bin	UserCount	RawEntropy	rec_entropy_0	rec_entropy_40_1940	rec_entropy_80_1940	rec_entropy_120_1940
1	31	0.3691	0.3363	0.3405	0.3405	0.3405
2	31	0.4988	0.6167	0.6335	0.6286	0.6286
3	31	0.5871	0.8012	0.7924	0.7924	0.7924
4	31	0.6708	0.8085	0.7900	0.7900	0.7900
5	31	0.7494	0.8428	0.8480	0.8480	0.8480
6	31	0.8223	0.9293	0.9568	0.9568	0.9568
7	31	0.8790	0.9297	0.9338	0.9338	0.9338
8	31	0.9326	1.0126	1.0037	1.0020	1.0071
9	31	0.9875	1.0325	1.0381	1.0381	1.0381
10	35	1.0541	1.1242	1.1400	1.1431	1.1431
