Cluster 2 - Average Entropy per Bin (0_40_80_120)
Bin	UserCount	RawEntropy	rec_entropy_0	rec_entropy_40	rec_entropy_80	rec_entropy_120
1	31	1.1232	1.1866	1.1627	1.1787	1.1831
2	31	1.1788	1.1709	1.1708	1.1847	1.1906
3	31	1.2395	1.3265	1.3207	1.3086	1.2891
4	31	1.2938	1.3109	1.3429	1.3489	1.3550
5	31	1.3402	1.3921	1.4247	1.4313	1.4235
6	31	1.3896	1.3694	1.3676	1.3630	1.3745
7	31	1.4602	1.4809	1.4776	1.4475	1.4476
8	31	1.5247	1.5194	1.5326	1.5473	1.5500
9	31	1.6208	1.5944	1.6282	1.6266	1.6312
10	35	1.7707	1.7012	1.7024	1.6922	1.6851
