Cluster 1 - Average Entropy per Bin (0_40_80_120_1930)
Bin	UserCount	RawEntropy	rec_entropy_0	rec_entropy_40_1930	rec_entropy_80_1930	rec_entropy_120_1930
1	31	0.3691	0.3363	0.3479	0.3425	0.3425
2	31	0.4988	0.6167	0.6335	0.6262	0.6262
3	31	0.5871	0.8012	0.8074	0.8074	0.8074
4	31	0.6708	0.8085	0.8031	0.7998	0.7969
5	31	0.7494	0.8428	0.8465	0.8465	0.8465
6	31	0.8223	0.9293	0.9437	0.9437	0.9437
7	31	0.8790	0.9297	0.9110	0.9078	0.9078
8	31	0.9326	1.0126	1.0011	1.0011	1.0011
9	31	0.9875	1.0325	1.0312	1.0312	1.0312
10	35	1.0541	1.1242	1.1359	1.1386	1.1412
