Cluster 0 - Average Entropy per Bin (0_40_80_120_1980)
Bin	UserCount	RawEntropy	rec_entropy_0	rec_entropy_40_1980	rec_entropy_80_1980	rec_entropy_120_1980
1	31	0.0000	0.0490	0.0490	0.0490	0.0490
2	31	0.0000	0.0490	0.0490	0.0490	0.0490
3	31	0.0000	0.0079	0.0000	0.0000	0.0000
4	31	0.0000	0.0237	0.0158	0.0158	0.0158
5	31	0.0000	0.0459	0.0538	0.0538	0.0538
6	31	0.0389	0.1012	0.1090	0.1090	0.1090
7	31	0.1117	0.1328	0.1328	0.1328	0.1328
8	31	0.1452	0.1230	0.1388	0.1388	0.1388
9	31	0.1817	0.2199	0.2155	0.2155	0.2155
10	36	0.2510	0.1532	0.1464	0.1464	0.1464
