Cluster 2 - Average Entropy per Bin (0_40_80_120_1980)
Bin	UserCount	RawEntropy	rec_entropy_0	rec_entropy_40_1980	rec_entropy_80_1980	rec_entropy_120_1980
1	31	1.1232	1.1873	1.2077	1.2077	1.2077
2	31	1.1788	1.1274	1.1087	1.1019	1.1019
3	31	1.2395	1.2086	1.2352	1.2352	1.2352
4	31	1.2938	1.2365	1.2224	1.2152	1.2152
5	31	1.3402	1.3466	1.3441	1.3441	1.3441
6	31	1.3896	1.3094	1.3016	1.3016	1.3016
7	31	1.4602	1.3787	1.3697	1.3708	1.3708
8	31	1.5247	1.4806	1.4699	1.4675	1.4649
9	31	1.6208	1.5444	1.5347	1.5347	1.5347
10	35	1.7707	1.6166	1.6269	1.6333	1.6333
